일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2025-06-23,6720,-180,-2.61,6850,6850,6670,40903,275378620,84483840000,12572000
2025-06-20,6900,-20,-0.29,6920,7000,6820,40637,280515695,86746800000,12572000
2025-06-19,6920,-90,-1.28,7020,7060,6900,36150,250663210,86998240000,12572000
2025-06-18,7010,250,3.7,6750,7300,6710,141326,989326760,88129720000,12572000
2025-06-17,6760,10,0.15,6770,6860,6690,45710,309781860,84986720000,12572000
2025-06-16,6750,-30,-0.44,6620,6790,6620,38129,255204800,84861000000,12572000
2025-06-13,6780,-140,-2.02,7060,7060,6660,38533,261717940,85238160000,12572000
2025-06-12,6920,-30,-0.43,6950,7000,6890,34399,238903540,86998240000,12572000
2025-06-11,6950,130,1.91,6910,7070,6870,61879,429758075,87375400000,12572000
2025-06-10,6820,10,0.15,6820,6900,6720,53069,360347850,85741040000,12572000
2025-06-09,6810,20,0.29,6860,6890,6790,28104,192033610,85615320000,12572000
2025-06-05,6790,10,0.15,6780,6850,6680,28523,193763480,85363880000,12572000
2025-06-04,6780,100,1.5,6660,6930,6400,55030,370647200,85238160000,12572000
2025-06-02,6680,0,0,6680,6800,6620,26458,176814870,83980960000,12572000
2025-05-30,6680,-100,-1.47,6750,6820,6680,28659,193194525,83980960000,12572000
2025-05-29,6780,10,0.15,6830,6840,6750,26428,179428440,85238160000,12572000
2025-05-28,6770,-30,-0.44,6800,6910,6730,54712,372720160,85112440000,12572000
2025-05-27,6800,130,1.95,6940,6940,6760,55712,380354970,85489600000,12572000
2025-05-26,6670,10,0.15,6580,6740,6570,38205,254830980,83855240000,12572000
2025-05-23,6660,-10,-0.15,6720,6840,6630,68030,455801905,83729520000,12572000
2025-05-22,6670,-240,-3.47,6900,6930,6610,95584,645707030,83855240000,12572000
2025-05-21,6910,510,7.97,6330,7730,6310,1318788,9538563410,86872520000,12572000
2025-05-20,6400,50,0.79,6370,6450,6310,21346,136015790,80460800000,12572000
2025-05-19,6350,-100,-1.55,6500,6510,5990,30604,193831960,79832200000,12572000
2025-05-16,6450,-200,-3.01,6600,6660,6450,33612,219910190,81089400000,12572000
2025-05-15,6650,-180,-2.64,6860,6860,6640,58192,389455230,83603800000,12572000
2025-05-14,6830,-80,-1.16,6990,6990,6810,62083,425822545,85866760000,12572000
2025-05-13,6910,-60,-0.86,7080,7090,6890,43483,302180070,86872520000,12572000
2025-05-12,6970,90,1.31,6990,7090,6880,31755,221974960,87626840000,12572000
2025-05-09,6880,-170,-2.41,7000,7080,6850,37114,257706215,86495360000,12572000
2025-05-08,7050,10,0.14,7010,7160,7010,28600,202107060,88632600000,12572000
2025-05-07,7040,40,0.57,7010,7130,7000,29670,208740630,88506880000,12572000
2025-05-02,7000,-60,-0.85,7050,7140,6900,44240,310785560,88004000000,12572000
2025-04-30,7060,-460,-6.12,7560,7560,7050,110134,801045685,88758320000,12572000
2025-04-29,7520,240,3.3,7290,7670,7250,194221,1452758710,94541440000,12572000
