일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2025/07/11","3455","-280","-7.50","3690","3695","3430","1493604","5274964955","202869650045","58717699"
"2025/07/10","3735","205","5.81","3730","3950","3535","2469502","9144688505","219310605765","58717699"
"2025/07/09","3530","305","9.46","3295","3530","3125","1999938","6757444306","207273477470","58717699"
"2025/07/08","3225","60","1.90","3165","3290","3100","1344257","4292396709","189364579275","58717699"
"2025/07/07","3165","-550","-14.80","3245","3382","3000","3761439","11823976270","185841517335","58717699"
"2025/07/04","3715","-340","-8.38","3935","3975","3600","1909524","7174149058","218136251785","58717699"
"2025/07/03","4055","-60","-1.46","4235","4340","3815","2343977","9587133201","238100269445","58717699"
"2025/07/02","4115","-325","-7.32","4655","4655","3985","2750811","11535878894","241623331385","58717699"
"2025/07/01","4440","-15","-0.34","4535","4900","4325","4888554","22362111231","260706583560","58717699"
"2025/06/30","4455","210","4.95","4240","4495","3945","3888340","16705199465","261587349045","58717699"
"2025/06/27","4245","315","8.02","3970","4245","3810","3108382","12538110772","249256632255","58717699"
"2025/06/26","3930","-370","-8.60","4100","4185","3825","2727045","10755903988","230760557070","58717699"
"2025/06/25","4300","-285","-6.22","4390","4530","4000","6843877","29058421532","252486105700","58717699"
"2025/06/24","4585","375","8.91","4280","4885","4100","21959126","99533521661","269220649915","58717699"
"2025/06/23","4210","970","29.94","3365","4210","3335","12691296","51744360683","247201512790","58717699"
"2025/06/20","3240","65","2.05","3175","3375","3040","716257","2316753791","190245344760","58717699"
"2025/06/19","3175","-130","-3.93","3395","3470","3100","979779","3177519496","186428694325","58717699"
"2025/06/18","3305","300","9.98","3005","3385","2975","1007591","3225371527","194061995195","58717699"
"2025/06/17","3005","-320","-9.62","3370","3380","2960","1319468","4064759867","176446685495","58717699"
"2025/06/16","3325","90","2.78","3205","3555","3035","2573770","8503492291","195236349175","58717699"
"2025/06/13","3235","-255","-7.31","3490","3650","3165","1014480","3374637751","189951756265","58717699"
"2025/06/12","3490","-60","-1.69","3565","3635","3340","765217","2633728706","204924769510","58717699"
"2025/06/11","3550","200","5.97","3445","3670","3330","1647208","5755055575","208447831450","58717699"
"2025/06/10","3350","-60","-1.76","3340","3480","3150","1893709","6226697294","196704291650","58717699"
"2025/06/09","3410","725","27.00","2750","3490","2720","6098064","19991126462","200227353590","58717699"
"2025/06/05","2685","210","8.48","2480","2770","2425","1086049","2900961892","157657021815","58717699"
"2025/06/04","2475","-20","-0.80","2500","2590","2415","424258","1061966461","145326305025","58717699"
"2025/06/02","2495","35","1.42","2435","2505","2400","167534","410551241","146500659005","58717699"
"2025/05/30","2460","90","3.80","2400","2485","2360","313458","762388454","144445539540","58717699"
"2025/05/29","2370","-20","-0.84","2395","2400","2310","147286","345103735","139160946630","58717699"
"2025/05/28","2390","-70","-2.85","2475","2485","2340","196370","474095885","140335300610","58717699"
"2025/05/27","2460","60","2.50","2375","2475","2355","160721","390258585","144445539540","58717699"
"2025/05/26","2400","85","3.67","2315","2425","2305","369548","874893350","140922477600","58717699"
"2025/05/23","2315","50","2.21","2265","2330","2210","157274","356655380","135445323185","58507699"
"2025/05/22","2265","0","0.00","2290","2290","2205","130010","292587578","132519938235","58507699"
"2025/05/21","2265","-10","-0.44","2240","2360","2240","148868","339407215","132519938235","58507699"
"2025/05/20","2275","75","3.41","2195","2380","2185","292466","655639104","133105015225","58507699"
"2025/05/19","2200","-160","-6.78","2345","2345","2140","278604","615192638","128716937800","58507699"
"2025/05/16","2360","0","0.00","2365","2390","2215","212725","487901584","138078169640","58507699"
"2025/05/15","2360","-110","-4.45","2495","2495","2290","261541","618429650","138078169640","58507699"
"2025/05/14","2470","90","3.78","2400","2535","2360","367112","896636931","144514016530","58507699"
"2025/05/13","2380","10","0.42","2395","2445","2350","142755","341120245","139248323620","58507699"
"2025/05/12","2370","15","0.64","2380","2395","2315","90143","212944735","138663246630","58507699"
"2025/05/09","2355","30","1.29","2445","2445","2245","296759","694642585","137785631145","58507699"
"2025/05/08","2325","90","4.03","2235","2350","2220","351406","809897835","136030400175","58507699"
"2025/05/07","2235","-125","-5.30","2315","2360","2135","392652","865289729","130764707265","58507699"
"2025/05/02","2360","90","3.96","2270","2360","2200","178970","408045782","138078169640","58507699"
"2025/04/30","2270","5","0.22","2300","2320","2225","114909","258831496","132812476730","58507699"
"2025/04/29","2265","-30","-1.31","2250","2355","2250","143173","326396999","132519938235","58507699"
"2025/04/28","2295","-50","-2.13","2330","2560","2240","1340574","3175666728","134275169205","58507699"
"2025/04/25","2345","-40","-1.68","2385","2385","2150","801908","1795341081","137200554155","58507699"
"2025/04/24","2385","70","3.02","2340","2405","2300","190377","447670170","139540862115","58507699"
"2025/04/23","2315","-180","-7.21","2515","2600","2280","461630","1093078570","135445323185","58507699"
"2025/04/22","2495","-100","-3.85","2570","2615","2450","533847","1347689216","145976709005","58507699"
"2025/04/21","2595","140","5.70","2405","2595","2405","272329","679878525","151827478905","58507699"
"2025/04/18","2455","-150","-5.76","2605","2630","2395","629582","1550945432","143636401045","58507699"
"2025/04/17","2605","150","6.11","2485","2635","2410","519967","1321601672","152412555895","58507699"
"2025/04/16","2455","20","0.82","2455","2600","2375","576167","1432087435","143636401045","58507699"
"2025/04/15","2435","65","2.74","2340","2440","2295","389186","915567697","142466247065","58507699"
"2025/04/14","2370","-45","-1.86","2340","2455","2295","678842","1616994255","138663246630","58507699"
"2025/04/11","2415","135","5.92","2285","2500","2180","2099621","4909060352","141296093085","58507699"
"2025/04/10","2280","180","8.57","2200","2680","2085","4889061","11882894741","133397553720","58507699"
"2025/04/09","2100","-350","-14.29","2475","3185","2050","11697803","31383072843","122866167900","58507699"
"2025/04/08","2450","-50","-2.00","2500","2580","2375","209829","512688155","143343862550","58507699"
"2025/04/07","2500","-30","-1.19","2515","2515","2310","184843","450176845","146269247500","58507699"
"2025/04/04","2530","-105","-3.98","2605","2670","2435","227084","576801320","148024478470","58507699"
"2025/04/03","2635","75","2.93","2570","2660","2480","141228","362294870","154167786865","58507699"
"2025/04/02","2560","-5","-0.19","2640","2640","2465","93200","235225284","149779709440","58507699"
"2025/04/01","2565","-35","-1.35","2600","2720","2565","164218","429143117","150072247935","58507699"
"2025/03/31","2600","-80","-2.99","2625","2665","2480","293026","742487388","152120017400","58507699"
"2025/03/28","2680","-80","-2.90","2785","2905","2390","589584","1533776627","156371833320","58347699"
"2025/03/27","2760","-5","-0.18","2750","2960","2660","593152","1678437167","161039649240","58347699"
"2025/03/26","2765","-20","-0.72","2785","2830","2680","125365","342401357","161331387735","58347699"
"2025/03/25","2785","45","1.64","2740","2860","2670","181568","499645560","162498341715","58347699"
"2025/03/24","2740","-195","-6.64","2895","2935","2670","335727","933120671","159872695260","58347699"
"2025/03/21","2935","-60","-2.00","2995","3020","2860","91395","267277195","171250496565","58347699"
"2025/03/20","2995","50","1.70","2925","3045","2820","242806","712637555","174751358505","58347699"
"2025/03/19","2945","-55","-1.83","2980","2995","2785","294051","847322696","171833973555","58347699"
"2025/03/18","3000","300","11.11","2705","3065","2630","777297","2286420101","175043097000","58347699"
"2025/03/17","2700","-245","-8.32","2940","2980","2700","221203","616359605","157538787300","58347699"
"2025/03/14","2945","90","3.15","2850","2950","2755","195249","556157544","171451123555","58217699"
"2025/03/13","2855","55","1.96","2800","2895","2665","336571","932934930","166211530645","58217699"
"2025/03/12","2800","-135","-4.60","2935","2975","2750","281637","787711719","163009557200","58217699"
"2025/03/11","2935","-105","-3.45","3020","3020","2800","178427","515398650","170868946565","58217699"
"2025/03/10","3040","-55","-1.78","3100","3145","2970","190970","579188290","176981804960","58217699"
"2025/03/07","3095","-150","-4.62","3280","3280","2890","648666","1954337206","180183778405","58217699"
"2025/03/06","3245","-105","-3.13","3350","3395","3190","133722","432950896","188916433255","58217699"
"2025/03/05","3350","-15","-0.45","3365","3365","3210","96378","315967346","195029291650","58217699"
"2025/03/04","3365","-170","-4.81","3560","3560","3250","206227","683708844","195902557135","58217699"
"2025/02/28","3535","-35","-0.98","3570","3660","3430","157514","554146220","205799565965","58217699"
"2025/02/27","3570","-50","-1.38","3600","3690","3510","118059","421986815","206748335430","57912699"
"2025/02/26","3620","-155","-4.11","3735","3755","3535","379171","1370175015","209643970380","57912699"
"2025/02/25","3775","40","1.07","3705","3895","3655","367290","1384531745","218620438725","57912699"
"2025/02/24","3735","340","10.01","3395","3735","3255","448071","1588392540","216303930765","57912699"
"2025/02/21","3395","-105","-3.00","3605","3605","3305","229152","771702110","196202003305","57791459"
"2025/02/20","3500","-50","-1.41","3460","3600","3430","189999","661285630","202270106500","57791459"
"2025/02/19","3550","-25","-0.70","3540","3630","3420","183776","643810250","205159679450","57791459"
"2025/02/18","3575","70","2.00","3505","3600","3420","102944","363978905","206604465925","57791459"
"2025/02/17","3505","-115","-3.18","3625","3690","3405","199645","700345065","202559063795","57791459"
"2025/02/14","3620","-30","-0.82","3650","3685","3575","101427","366632950","209205081580","57791459"
"2025/02/13","3650","-10","-0.27","3695","3705","3555","176660","639166515","210938825350","57791459"
"2025/02/12","3660","-35","-0.95","3640","3710","3530","237436","852602720","211516739940","57791459"
"2025/02/11","3695","30","0.82","3640","3695","3550","137861","499499020","213040616005","57656459"
