일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2025/07/11","21650","-850","-3.78","22700","22800","21550","1002618","21851354000","649272545100","29989494"
"2025/07/10","22500","-1100","-4.66","23600","23600","22050","898177","20205215825","674763615000","29989494"
"2025/07/09","23600","250","1.07","23500","23700","23150","203691","4779580825","707752058400","29989494"
"2025/07/08","23350","300","1.30","23550","23700","23000","399338","9294104181","700254684900","29989494"
"2025/07/07","23050","-100","-0.43","22550","23650","22550","277618","6410388750","691257836700","29989494"
"2025/07/04","23150","-1050","-4.34","24250","24500","23050","379513","8900131900","694256786100","29989494"
"2025/07/03","24200","-1000","-3.97","24950","25300","23950","391682","9522172200","725745754800","29989494"
"2025/07/02","25200","-650","-2.51","25900","26200","24550","384112","9583848275","755735248800","29989494"
"2025/07/01","25850","-400","-1.52","26400","26850","25800","298420","7855861600","775228419900","29989494"
"2025/06/30","26250","800","3.14","25700","26750","25550","324121","8505881775","787224217500","29989494"
"2025/06/27","25450","-450","-1.74","26200","26350","25300","218594","5617305250","763232622300","29989494"
"2025/06/26","25900","400","1.57","25650","25950","24800","395353","10054877125","776727894600","29989494"
"2025/06/25","25500","-1200","-4.49","26850","26950","25250","575250","14793512850","764732097000","29989494"
"2025/06/24","26700","0","0.00","26850","27550","26450","335624","9052197675","800719489800","29989494"
"2025/06/23","26700","0","0.00","27200","27300","26300","266097","7163959725","800719489800","29989494"
"2025/06/20","26700","-500","-1.84","27100","27500","26500","257181","6890825000","800719489800","29989494"
"2025/06/19","27200","-450","-1.63","27650","27900","26750","322911","8756604950","815714236800","29989494"
"2025/06/18","27650","-350","-1.25","27750","28300","27400","338845","9377780250","829209509100","29989494"
"2025/06/17","28000","-50","-0.18","28150","28650","27250","654362","18310421775","839705832000","29989494"
"2025/06/16","28050","950","3.51","27250","28200","27000","505657","13972795150","841205306700","29989494"
"2025/06/13","27100","-450","-1.63","27250","27550","26500","647126","17492029100","812715287400","29989494"
"2025/06/12","27550","1700","6.58","26250","27950","26150","1687532","46450059625","826210559700","29989494"
"2025/06/11","25850","-800","-3.00","26800","26850","25700","476786","12374437525","775228419900","29989494"
"2025/06/10","26650","700","2.70","25850","26950","25750","583693","15469180775","799220015100","29989494"
"2025/06/09","25950","-2050","-7.32","28750","28750","25950","924666","24778706225","778227369300","29989494"
"2025/06/05","28000","1950","7.49","26100","28450","25950","1061125","28887423525","839705832000","29989494"
"2025/06/04","26050","250","0.97","25800","26200","25250","311126","8042320925","781226318700","29989494"
"2025/06/02","25800","-200","-0.77","25950","26200","25600","287175","7426971800","773728945200","29989494"
"2025/05/30","26000","150","0.58","25850","26250","25200","378472","9691597225","779726844000","29989494"
"2025/05/29","25850","600","2.38","25350","26200","25050","327958","8480858950","775228419900","29989494"
"2025/05/28","25250","-700","-2.70","26150","26500","25050","580232","14966572525","757234723500","29989494"
"2025/05/27","25950","350","1.37","26250","26600","25200","498732","12843123450","778227369300","29989494"
"2025/05/26","25600","500","1.99","25250","26400","24800","427208","11020678475","767731046400","29989494"
"2025/05/23","25100","-500","-1.95","25150","25650","24850","299863","7552924350","752736299400","29989494"
"2025/05/22","25600","-700","-2.66","25950","26000","25200","292713","7472386300","767731046400","29989494"
"2025/05/21","26300","850","3.34","25550","26500","25250","525103","13727504125","788723692200","29989494"
"2025/05/20","25450","850","3.46","24650","25550","23950","710878","17855428475","763232622300","29989494"
"2025/05/19","24600","850","3.58","23500","24800","23500","479652","11675426525","737741552400","29989494"
"2025/05/16","23750","-1350","-5.38","24150","24350","23400","986660","23468014425","712250482500","29989494"
"2025/05/15","25100","0","0.00","25150","25500","24600","339326","8501164825","752736299400","29989494"
"2025/05/14","25100","700","2.87","24450","25450","24450","421569","10556543575","752736299400","29989494"
"2025/05/13","24400","350","1.46","24100","24500","23300","586725","14186266025","731743653600","29989494"
"2025/05/12","24050","-2600","-9.76","26850","27000","24050","844409","21159298125","721247330700","29989494"
"2025/05/09","26650","1100","4.31","25800","27250","25300","944287","25153249550","799220015100","29989494"
"2025/05/08","25550","0","0.00","25600","25750","24750","488063","12350597650","766231571700","29989494"
"2025/05/07","25550","100","0.39","25250","25700","25000","323285","8209245050","766231571700","29989494"
"2025/05/02","25450","550","2.21","24800","25600","24800","313690","7927324875","763232622300","29989494"
"2025/04/30","24900","-900","-3.49","25800","25800","24650","354464","8848198525","746738400600","29989494"
"2025/04/29","25800","200","0.78","25600","26000","24450","515459","13050988050","773728945200","29989494"
"2025/04/28","25600","-250","-0.97","26450","26600","25300","363084","9358838175","767731046400","29989494"
"2025/04/25","25850","-300","-1.15","25950","26400","25550","542347","14124173100","775228419900","29989494"
"2025/04/24","26150","1400","5.66","24800","26200","24400","668061","17056024350","784225268100","29989494"
"2025/04/23","24750","-650","-2.56","25650","25700","24550","302539","7555854850","742239976500","29989494"
"2025/04/22","25400","850","3.46","24100","25550","24100","479803","12100209325","761733147600","29989494"
"2025/04/21","24550","-100","-0.41","24750","24800","23700","428341","10369000675","736242077700","29989494"
"2025/04/18","24650","-300","-1.20","25250","25250","24000","459767","11248930200","739241027100","29989494"
"2025/04/17","24950","-350","-1.38","25150","25400","24400","647906","16087472675","748237875300","29989494"
"2025/04/16","25300","-900","-3.44","26000","26250","24850","550607","14113658300","758734198200","29989494"
"2025/04/15","26200","750","2.95","26100","26850","25200","901964","23470499825","785724742800","29989494"
"2025/04/14","25450","0","0.00","26000","26050","24700","633244","16047038625","763232622300","29989494"
"2025/04/11","25450","1050","4.30","24750","25800","24700","814863","20642124525","763232622300","29989494"
"2025/04/10","24400","1550","6.78","23900","24600","23250","605446","14617571625","731743653600","29989494"
"2025/04/09","22850","250","1.11","23700","23700","22300","828712","19006945800","685259937900","29989494"
"2025/04/08","22600","950","4.39","22600","22850","21700","598223","13420817925","677762564400","29989494"
"2025/04/07","21650","-2300","-9.60","22450","22750","21600","816872","18080347400","649272545100","29989494"
"2025/04/04","23950","-600","-2.44","24150","24750","23400","455990","10920269800","718248381300","29989494"
"2025/04/03","24550","750","3.15","23150","24650","23150","469446","11345583775","736242077700","29989494"
"2025/04/02","23800","500","2.15","23550","24200","22650","499110","11870250900","713749957200","29989494"
"2025/04/01","23300","1350","6.15","22550","23600","22450","667063","15441234975","698755210200","29989494"
"2025/03/31","21950","450","2.09","20950","22500","20900","561135","12301942675","658269393300","29989494"
"2025/03/28","21500","-200","-0.92","21700","21850","21150","438609","9388858775","644774121000","29989494"
"2025/03/27","21700","-1050","-4.62","22850","22850","21600","477821","10478955850","650772019800","29989494"
"2025/03/26","22750","650","2.94","22300","22750","21750","424254","9504299500","682260988500","29989494"
"2025/03/25","22100","-1450","-6.16","23600","23900","22100","1056858","23935957675","662767817400","29989494"
"2025/03/24","23550","-1250","-5.04","24950","25100","23450","538463","12826870800","706252583700","29989494"
"2025/03/21","24800","1150","4.86","23050","24800","23050","662164","16036784600","743739451200","29989494"
"2025/03/20","23650","-550","-2.27","25000","25200","23200","1016493","24366064950","709251533100","29989494"
"2025/03/19","24200","-1000","-3.97","25000","25600","24200","647665","16010233750","725745754800","29989494"
"2025/03/18","25200","1200","5.00","24350","25650","23900","1018187","25493269425","755735248800","29989494"
"2025/03/17","24000","-750","-3.03","24500","24850","23400","679682","16357577975","719747856000","29989494"
"2025/03/14","24750","950","3.99","23450","24950","23450","699043","16974243325","742239976500","29989494"
"2025/03/13","23800","-600","-2.46","24250","25100","23750","686294","16676900425","713749957200","29989494"
"2025/03/12","24400","1350","5.86","25050","26500","24050","3719468","93997506100","731743653600","29989494"
"2025/03/11","23050","250","1.10","22050","23600","22050","995040","22748173600","691257836700","29989494"
"2025/03/10","22800","-550","-2.36","22950","23200","22050","644571","14634399850","683760463200","29989494"
"2025/03/07","23350","350","1.52","22750","23500","22400","457976","10572107025","700254684900","29989494"
"2025/03/06","23000","-500","-2.13","23750","24100","22900","516016","12093088125","689758362000","29989494"
"2025/03/05","23500","700","3.07","23100","24200","22500","1266652","29740961900","704753109000","29989494"
"2025/03/04","22800","0","0.00","23400","23950","22300","1019517","23605870175","683760463200","29989494"
"2025/02/28","22800","-350","-1.51","22800","23500","22450","650696","14803264750","683760463200","29989494"
"2025/02/27","23150","0","0.00","23000","24050","22700","829483","19400998950","694256786100","29989494"
"2025/02/26","23150","-750","-3.14","24000","24200","22800","723623","16965036800","694256786100","29989494"
"2025/02/25","23900","2000","9.13","21600","24350","21500","2033936","47850572050","716748906600","29989494"
"2025/02/24","21900","850","4.04","20850","22500","20600","811301","17706281550","656769918600","29989494"
