일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2025/07/11","60500","-2600","-4.12","63500","63700","60500","7581825","465642549750","38753949333000","640561146"
"2025/07/10","63100","-1300","-2.02","65200","65300","62500","7153224","454095572300","40419408312600","640561146"
"2025/07/09","64400","-2200","-3.30","67100","67100","64100","6921230","450975585150","41252137802400","640561146"
"2025/07/08","66600","3700","5.88","63700","66800","62900","10035127","657979001750","42661372323600","640561146"
"2025/07/07","62900","2900","4.83","58900","63500","58600","9074725","555050580000","40291296083400","640561146"
"2025/07/04","60000","-1900","-3.07","61500","64000","59800","7881195","485276723050","38433668760000","640561146"
"2025/07/03","61900","300","0.49","63100","64100","61300","6984206","436251085000","39650734937400","640561146"
"2025/07/02","61600","-900","-1.44","62300","63000","59500","12016774","733940742650","39458566593600","640561146"
"2025/07/01","62500","-5900","-8.63","67800","69300","61700","14134978","922752202350","40035071625000","640561146"
"2025/06/30","68400","2600","3.95","70400","72200","66800","12295863","850040300500","43814382386400","640561146"
"2025/06/27","65800","1100","1.70","64300","66500","63800","7601019","495596683050","42148923406800","640561146"
"2025/06/26","64700","-1100","-1.67","63800","67100","62500","13499836","877142544600","41444306146200","640561146"
"2025/06/25","65800","-3100","-4.50","68400","69300","64200","11308003","749541329250","42148923406800","640561146"
"2025/06/24","68900","300","0.44","70600","71400","67000","13780632","949445529050","44134662959400","640561146"
"2025/06/23","68600","8400","13.95","59100","69400","59100","28367599","1864784247100","43942494615600","640561146"
"2025/06/20","60200","-800","-1.31","60200","61000","58200","10039131","599305886800","38561780989200","640561146"
"2025/06/19","61000","0","0.00","60500","61500","59200","7994191","481426615100","39074229906000","640561146"
"2025/06/18","61000","1600","2.69","58900","62300","57700","14495257","869497486650","39074229906000","640561146"
"2025/06/17","59400","-200","-0.34","62500","63200","56500","23039564","1372593897850","38049332072400","640561146"
"2025/06/16","59600","5000","9.16","55500","59800","54200","14476095","838348870300","38177444301600","640561146"
"2025/06/13","54600","0","0.00","55300","55400","52400","14943904","810697535050","34974638571600","640561146"
"2025/06/12","54600","3500","6.85","54300","56300","53000","16430444","891450243350","34974638571600","640561146"
"2025/06/11","51100","3100","6.46","47950","51600","47450","14201108","715548678400","32732674560600","640561146"
"2025/06/10","48000","500","1.05","47550","48500","45800","12176419","578310490775","30746935008000","640561146"
"2025/06/09","47500","1600","3.49","47200","48200","46100","12678443","599722668825","30426654435000","640561146"
"2025/06/05","45900","3250","7.62","45750","46250","43100","20061143","901938345850","29401756601400","640561146"
"2025/06/04","42650","1700","4.15","40900","42900","40750","11387783","477656787850","27319932876900","640561146"
"2025/06/02","40950","600","1.49","39300","41850","39300","10013882","409377235800","26230978928700","640561146"
"2025/05/30","40350","-1850","-4.38","41750","41750","39850","12787928","519687291600","25846642241100","640561146"
"2025/05/29","42200","2400","6.03","40100","42400","39800","14449764","599589240450","27031680361200","640561146"
"2025/05/28","39800","-2550","-6.02","43300","43450","39100","23906372","989127212700","25494333610800","640561146"
"2025/05/27","42350","850","2.05","40800","42550","40550","10536843","439422307150","27127764533100","640561146"
"2025/05/26","41500","700","1.72","42800","42850","40150","15784843","654836565175","26583287559000","640561146"
"2025/05/23","40800","2550","6.67","39850","41400","39300","16382809","661871496375","26134894756800","640561146"
"2025/05/22","38250","-850","-2.17","38500","39000","37600","10239052","393034826600","24501463834500","640561146"
"2025/05/21","39100","1900","5.11","38650","39300","37100","17374970","666170610775","25045940808600","640561146"
"2025/05/20","37200","2600","7.51","34450","37300","34350","15739607","575192038475","23828874631200","640561146"
"2025/05/19","34600","300","0.87","34900","35000","33750","9332808","320891543975","22163415651600","640561146"
"2025/05/16","34300","2350","7.36","32450","34750","31900","17619218","592231639325","21971247307800","640561146"
"2025/05/15","31950","650","2.08","31900","32750","31100","9164026","291621064050","20465928614700","640561146"
"2025/05/14","31300","1650","5.56","30400","31450","30250","14737537","456575840875","20049563869800","640561146"
"2025/05/13","29650","850","2.95","29150","29950","28450","7723345","226981803725","18992637978900","640561146"
"2025/05/12","28800","950","3.41","28850","30150","28400","13828502","407255373525","18448161004800","640561146"
"2025/05/09","27850","100","0.36","28050","28700","27600","4958723","139071030150","17839627916100","640561146"
"2025/05/08","27750","450","1.65","27450","28000","26650","6334443","173308195925","17775571801500","640561146"
"2025/05/07","27300","-400","-1.44","25150","27500","25150","12312853","326041604050","17487319285800","640561146"
"2025/05/02","27700","-1250","-4.32","29450","29500","27050","11490437","320243160900","17743543744200","640561146"
"2025/04/30","28950","50","0.17","29350","29900","28400","7230121","210350382775","18544245176700","640561146"
"2025/04/29","28900","600","2.12","28450","28950","28050","5013948","143827522150","18512217119400","640561146"
"2025/04/28","28300","400","1.43","28250","28500","27650","4927227","138745054725","18127880431800","640561146"
"2025/04/25","27900","1000","3.72","27850","28000","27450","6572442","182449277800","17871655973400","640561146"
"2025/04/24","26900","1150","4.47","25750","26950","25700","7151830","190063851400","17231094827400","640561146"
"2025/04/23","25750","100","0.39","26250","26250","25600","3008282","77541359550","16494449509500","640561146"
"2025/04/22","25650","-400","-1.54","25600","26200","25550","3763759","97113590200","16430393394900","640561146"
"2025/04/21","26050","100","0.39","26550","26600","25600","5684586","148542811825","16686617853300","640561146"
"2025/04/18","25950","1500","6.13","25250","26200","25000","9342636","240276919500","16622561738700","640561146"
"2025/04/17","24450","1100","4.71","23250","24600","23250","5611133","136124075100","15661720019700","640561146"
"2025/04/16","23350","-750","-3.11","24250","24250","23200","3167471","75243083750","14957102759100","640561146"
"2025/04/15","24100","750","3.21","23550","24350","23200","3836499","91758317350","15437523618600","640561146"
