일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2025-07-10,2240,5,0.22,2270,2270,2215,12537,27948235,29149464960,13013154
2025-07-09,2235,5,0.22,2240,2240,2220,15830,35307345,29084399190,13013154
2025-07-08,2230,25,1.13,2245,2245,2200,15698,34673030,29019333420,13013154
2025-07-07,2205,5,0.23,2200,2250,2200,44783,99112190,28694004570,13013154
2025-07-04,2200,5,0.23,2195,2220,2190,38575,84931087,28628938800,13013154
2025-07-03,2195,-5,-0.23,2200,2220,2195,50214,110697559,28563873030,13013154
2025-07-02,2200,-10,-0.45,2210,2230,2195,28733,63285893,28628938800,13013154
2025-07-01,2210,-40,-1.78,2285,2285,2200,91059,201577992,28759070340,13013154
2025-06-30,2250,-70,-3.02,2320,2320,2245,34678,78185354,29279596500,13013154
2025-06-27,2320,5,0.22,2345,2345,2295,7065,16357303,30190517280,13013154
2025-06-26,2315,-25,-1.07,2335,2335,2230,48547,109721250,30125451510,13013154
2025-06-25,2340,5,0.21,2335,2355,2300,7502,17439620,30450780360,13013154
2025-06-24,2335,45,1.97,2290,2340,2230,11385,25953080,30385714590,13013154
2025-06-23,2290,-55,-2.35,2320,2320,2275,13579,31054815,29800122660,13013154
2025-06-20,2345,5,0.21,2365,2370,2305,7209,16881290,30515846130,13013154
2025-06-19,2340,-40,-1.68,2380,2395,2340,3503,8226895,30450780360,13013154
2025-06-18,2380,0,0,2360,2380,2295,9401,22032025,30971306520,13013154
2025-06-17,2380,45,1.93,2320,2390,2305,19042,44456770,30971306520,13013154
2025-06-16,2335,70,3.09,2265,2360,2200,15104,34345730,30385714590,13013154
2025-06-13,2265,-65,-2.79,2335,2360,2265,55930,128500650,29474793810,13013154
2025-06-12,2330,25,1.08,2340,2340,2295,49280,113469746,30320648820,13013154
2025-06-11,2305,0,0,2305,2315,2285,8723,20110690,29995319970,13013154
2025-06-10,2305,75,3.36,2235,2315,2210,19676,44290599,29995319970,13013154
2025-06-09,2230,20,0.9,2210,2240,2200,31435,69573755,29019333420,13013154
2025-06-05,2210,-25,-1.12,2235,2245,2200,38617,85580341,28759070340,13013154
2025-06-04,2235,15,0.68,2235,2250,2200,37490,83088205,29084399190,13013154
2025-06-02,2220,-70,-3.06,2290,2290,2215,46849,104477250,28889201880,13013154
2025-05-30,2290,30,1.33,2265,2290,2260,7816,17795032,29800122660,13013154
2025-05-29,2260,-10,-0.44,2270,2275,2230,16244,36609845,29409728040,13013154
2025-05-28,2270,-65,-2.78,2315,2335,2230,80269,180623855,29539859580,13013154
2025-05-27,2335,25,1.08,2315,2335,2265,18559,42548160,30385714590,13013154
2025-05-26,2310,-55,-2.33,2365,2365,2280,44903,103494189,30060385740,13013154
2025-05-23,2365,-15,-0.63,2375,2375,2315,5289,12374290,30776109210,13013154
2025-05-22,2380,0,0,2380,2395,2300,49327,114655610,30971306520,13013154
2025-05-21,2380,-20,-0.83,2400,2400,2370,6257,14949245,30971306520,13013154
2025-05-20,2400,5,0.21,2395,2405,2350,6583,15644210,31231569600,13013154
2025-05-19,2395,-5,-0.21,2400,2405,2320,22972,54082030,31166503830,13013154
2025-05-16,2400,5,0.21,2395,2490,2365,21133,50699430,31231569600,13013154
2025-05-15,2395,-75,-3.04,2470,2485,2385,20635,49749610,31166503830,13013154
2025-05-14,2470,-15,-0.6,2465,2485,2430,8763,21492935,32142490380,13013154
2025-05-13,2485,10,0.4,2475,2485,2415,9582,23558765,32337687690,13013154
2025-05-12,2475,25,1.02,2415,2475,2415,8878,21720525,32207556150,13013154
2025-05-09,2450,30,1.24,2420,2450,2360,13223,31750010,31882227300,13013154
2025-05-08,2420,60,2.54,2335,2420,2335,10213,24245840,31491832680,13013154
2025-05-07,2360,-15,-0.63,2340,2370,2300,22312,51933736,30711043440,13013154
2025-05-02,2375,-105,-4.23,2480,2480,2355,44048,105565700,30906240750,13013154
2025-04-30,2480,-20,-0.8,2480,2480,2410,30554,74432490,32272621920,13013154
2025-04-29,2500,-15,-0.6,2515,2580,2475,26696,66973800,32532885000,13013154
2025-04-28,2515,-80,-3.08,2615,2620,2515,29948,76693000,32728082310,13013154
2025-04-25,2595,-35,-1.33,2610,2615,2530,20074,51516455,33769134630,13013154
2025-04-24,2630,60,2.33,2545,2630,2530,22343,57961370,34224595020,13013154
2025-04-23,2570,-85,-3.2,2660,2710,2535,45720,117976730,33443805780,13013154
2025-04-22,2655,0,0,2600,2670,2500,53039,135311797,34549923870,13013154
2025-04-21,2655,30,1.14,2650,2750,2550,58462,157338540,34549923870,13013154
2025-04-18,2625,75,2.94,2525,2645,2525,19023,49339040,34159529250,13013154
2025-04-17,2550,-35,-1.35,2585,2585,2470,23295,58726920,33183542700,13013154
2025-04-16,2585,-10,-0.39,2595,2595,2520,13132,33619790,33639003090,13013154
2025-04-15,2595,25,0.97,2540,2605,2540,10327,26637065,33769134630,13013154
2025-04-14,2570,5,0.19,2555,2595,2520,15578,39622885,33443805780,13013154
2025-04-11,2565,-10,-0.39,2575,2590,2515,11310,28619040,33378740010,13013154
2025-04-10,2575,75,3,2500,2660,2495,23465,60561483,33508871550,13013154
