일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2025/07/11","5990","-890","-12.94","6910","7000","5860","6374075","39740669330","182036651080","30390092"
"2025/07/10","6880","-20","-0.29","6730","7260","6540","5912970","41028023790","209083832960","30390092"
"2025/07/09","6900","660","10.58","6100","7100","5990","7407658","48752548280","209691634800","30390092"
"2025/07/08","6240","120","1.96","6260","6640","5800","4952695","30443861220","189634174080","30390092"
"2025/07/07","6120","320","5.52","6000","6480","5750","8344593","50616048340","185987363040","30390092"
"2025/07/04","5800","870","17.65","5070","5990","4960","18642069","105179937650","176262533600","30390092"
"2025/07/03","4930","-100","-1.99","4945","5430","4855","4259698","21861288144","149823153560","30390092"
"2025/07/02","5030","-70","-1.37","5200","5320","4815","2971553","15068169156","152862162760","30390092"
"2025/07/01","5100","60","1.19","5100","5350","4880","4736146","24230952338","154989469200","30390092"
"2025/06/30","5040","-620","-10.95","5380","5500","4930","5239221","26816248716","153166063680","30390092"
"2025/06/27","5660","70","1.25","5850","5910","5160","10259076","56922631340","172007920720","30390092"
"2025/06/26","5590","-1690","-23.21","6450","6540","5360","14341710","86137054855","169880614280","30390092"
"2025/06/25","7280","0","0.00","0","0","0","0","0","221239869760","30390092"
"2025/06/24","7280","650","9.80","7620","8240","6630","30160510","225813647845","221239869760","30390092"
"2025/06/23","6630","0","0.00","0","0","0","0","0","201486309960","30390092"
"2025/06/20","6630","1530","30.00","5050","6630","4755","26189073","151576478489","201486309960","30390092"
"2025/06/19","5100","1050","25.93","4205","5260","4100","24446247","119166772354","154989469200","30390092"
"2025/06/18","4050","95","2.40","4245","4465","3660","15257733","62645941915","123079872600","30390092"
"2025/06/17","3955","-445","-10.11","4560","4560","3850","2854502","11674774545","120192813860","30390092"
"2025/06/16","4400","120","2.80","3990","4595","3990","2996928","12882232880","133716404800","30390092"
"2025/06/13","4280","985","29.89","3755","4280","3530","5745535","22358798365","130069593760","30390092"
"2025/06/12","3295","760","29.98","2540","3295","2500","18915390","55723143900","100135353140","30390092"
"2025/06/11","2535","45","1.81","2710","2750","2490","12596435","32615620895","77038883220","30390092"
"2025/06/10","2490","573","29.89","1907","2490","1907","15967532","37611431379","75671329080","30390092"
"2025/06/09","1917","22","1.16","1895","1930","1890","99173","189888739","58257806364","30390092"
"2025/06/05","1895","10","0.53","1885","1904","1835","98974","186741219","57589224340","30390092"
"2025/06/04","1885","8","0.43","1880","1897","1861","52746","99426386","57285323420","30390092"
"2025/06/02","1877","7","0.37","1868","1898","1846","67454","126903133","57042202684","30390092"
"2025/05/30","1870","32","1.74","1830","1870","1820","80649","149890245","56829472040","30390092"
"2025/05/29","1838","40","2.22","1783","1838","1783","86489","157101911","55856989096","30390092"
"2025/05/28","1798","6","0.33","1790","1800","1762","46652","83559536","54641385416","30390092"
"2025/05/27","1792","-1","-0.06","1797","1800","1755","67828","120136495","54459044864","30390092"
"2025/05/26","1793","31","1.76","1762","1800","1749","56782","100520927","54489434956","30390092"
"2025/05/23","1762","0","0.00","1762","1781","1751","40199","70723108","53547342104","30390092"
"2025/05/22","1762","-23","-1.29","1785","1785","1760","45892","81043011","53547342104","30390092"
"2025/05/21","1785","-4","-0.22","1769","1801","1769","48246","86215854","54246314220","30390092"
"2025/05/20","1789","-6","-0.33","1785","1799","1760","41851","74626284","54367874588","30390092"
"2025/05/19","1795","1","0.06","1808","1808","1770","51877","92631722","54550215140","30390092"
"2025/05/16","1794","-22","-1.21","1815","1816","1770","97284","173932036","54519825048","30390092"
"2025/05/15","1816","-28","-1.52","1845","1845","1805","39974","72753409","55188407072","30390092"
"2025/05/14","1844","10","0.55","1855","1855","1822","78503","143945669","56039329648","30390092"
"2025/05/13","1834","11","0.60","1801","1862","1801","71481","130285331","55735428728","30390092"
"2025/05/12","1823","3","0.16","1820","1830","1794","31200","56768295","55401137716","30390092"
"2025/05/09","1820","-24","-1.30","1844","1844","1800","75775","137777862","55309967440","30390092"
"2025/05/08","1844","-10","-0.54","1855","1860","1820","49181","90029262","56039329648","30390092"
"2025/05/07","1854","-1","-0.05","1869","1869","1825","59094","108482040","56343230568","30390092"
"2025/05/02","1855","29","1.59","1826","1898","1803","106445","197213310","56373620660","30390092"
"2025/04/30","1826","-9","-0.49","1840","1848","1819","47477","87070049","55492307992","30390092"
"2025/04/29","1835","6","0.33","1830","1835","1800","52989","96279673","55765818820","30390092"
"2025/04/28","1829","-30","-1.61","1859","1859","1821","52565","96282414","55583478268","30390092"
"2025/04/25","1859","-13","-0.69","1873","1875","1843","38480","71477574","56495181028","30390092"
"2025/04/24","1872","-1","-0.05","1891","1891","1859","32964","61481870","56890252224","30390092"
"2025/04/23","1873","0","0.00","1874","1880","1861","23510","43965552","56920642316","30390092"
"2025/04/22","1873","-20","-1.06","1879","1890","1850","59734","111312505","56920642316","30390092"
"2025/04/21","1893","0","0.00","1893","1907","1876","65112","123265441","57528444156","30390092"
"2025/04/18","1893","9","0.48","1893","1910","1868","180427","339567582","57528444156","30390092"
"2025/04/17","1884","32","1.73","1853","1920","1830","324447","611402242","57254933328","30390092"
"2025/04/16","1852","35","1.93","1817","1857","1812","178214","328055344","56282450384","30390092"
"2025/04/15","1817","28","1.57","1789","1824","1780","162936","293800002","55218797164","30390092"
"2025/04/14","1789","-10","-0.56","1781","1791","1761","220649","391987885","54367874588","30390092"
"2025/04/11","1799","119","7.08","1680","2000","1662","1992488","3672079891","54671775508","30390092"
"2025/04/10","1680","26","1.57","1691","1700","1610","31639","52800397","51055354560","30390092"
"2025/04/09","1654","-28","-1.66","1643","1682","1621","43675","71858907","50265212168","30390092"
"2025/04/08","1682","32","1.94","1650","1699","1637","47876","80315276","51116134744","30390092"
"2025/04/07","1650","-49","-2.88","1682","1684","1620","80843","133028918","50143651800","30390092"
"2025/04/04","1699","9","0.53","1679","1699","1661","56589","95244876","51632766308","30390092"
"2025/04/03","1690","-10","-0.59","1675","1698","1661","64103","107201904","51359255480","30390092"
"2025/04/02","1700","-16","-0.93","1720","1739","1670","59929","101137704","51663156400","30390092"
"2025/04/01","1716","19","1.12","1683","1719","1683","47475","81002952","52149397872","30390092"
"2025/03/31","1697","-32","-1.85","1729","1729","1676","66841","113455551","51571986124","30390092"
"2025/03/28","1729","-11","-0.63","1738","1738","1710","23919","41196439","52544469068","30390092"
"2025/03/27","1740","-3","-0.17","1729","1743","1719","30983","53699037","52878760080","30390092"
"2025/03/26","1743","8","0.46","1734","1753","1715","40763","70892041","52969930356","30390092"
"2025/03/25","1735","-15","-0.86","1740","1750","1710","58074","100144051","52726809620","30390092"
"2025/03/24","1750","-4","-0.23","1741","1754","1736","17523","30594678","53182661000","30390092"
"2025/03/21","1754","-6","-0.34","1755","1755","1726","22548","39312855","53304221368","30390092"
"2025/03/20","1760","-9","-0.51","1760","1769","1740","44957","78635128","53486561920","30390092"
"2025/03/19","1769","5","0.28","1764","1785","1750","39223","68995769","53760072748","30390092"
"2025/03/18","1764","3","0.17","1760","1775","1745","47431","83538213","53608122288","30390092"
"2025/03/17","1761","1","0.06","1760","1770","1746","46710","82185011","53516952012","30390092"
"2025/03/14","1760","2","0.11","1754","1760","1740","32685","57223408","53486561920","30390092"
"2025/03/13","1758","3","0.17","1754","1764","1731","20147","35151824","53425781736","30390092"
"2025/03/12","1755","11","0.63","1744","1755","1730","25928","45246074","53334611460","30390092"
"2025/03/11","1744","-1","-0.06","1723","1744","1713","54970","94692073","53000320448","30390092"
"2025/03/10","1745","0","0.00","1745","1745","1734","15042","26157775","53030710540","30390092"
"2025/03/07","1745","6","0.35","1739","1746","1726","21560","37438088","53030710540","30390092"
"2025/03/06","1739","5","0.29","1734","1746","1718","48903","84694766","52848369988","30390092"
"2025/03/05","1734","19","1.11","1702","1740","1701","31578","54319537","52696419528","30390092"
"2025/03/04","1715","-22","-1.27","1701","1737","1701","78651","134742227","52119007780","30390092"
"2025/02/28","1737","-17","-0.97","1750","1751","1695","67642","117103777","52787589804","30390092"
"2025/02/27","1754","1","0.06","1743","1758","1740","44928","78564059","53304221368","30390092"
"2025/02/26","1753","7","0.40","1732","1754","1728","51248","89481121","53273831276","30390092"
"2025/02/25","1746","9","0.52","1724","1750","1724","40045","69699508","53061100632","30390092"
"2025/02/24","1737","-22","-1.25","1733","1740","1707","92566","159818228","52787589804","30390092"
"2025/02/21","1759","0","0.00","1765","1765","1740","94424","165283012","53456171828","30390092"
"2025/02/20","1759","50","2.93","1720","1777","1705","219909","383025860","53456171828","30390092"
"2025/02/19","1709","1","0.06","1708","1720","1690","95469","162431841","51936667228","30390092"
"2025/02/18","1708","-9","-0.52","1717","1717","1688","99510","169357103","51906277136","30390092"
"2025/02/17","1717","0","0.00","1716","1730","1702","54528","93317943","52179787964","30390092"
"2025/02/14","1717","-15","-0.87","1713","1732","1708","74365","127411164","52179787964","30390092"
"2025/02/13","1732","-35","-1.98","1750","1767","1732","44453","77510618","52635639344","30390092"
"2025/02/12","1767","0","0.00","1755","1769","1734","40489","70812358","53699292564","30390092"
"2025/02/11","1767","10","0.57","1742","1773","1742","41343","72682908","53699292564","30390092"
"2025/02/10","1757","-2","-0.11","1759","1759","1727","45629","79181030","53395391644","30390092"
"2025/02/07","1759","-21","-1.18","1785","1790","1701","35791","62303732","53456171828","30390092"
"2025/02/06","1780","-6","-0.34","1790","1790","1763","34279","60664603","54094363760","30390092"
"2025/02/05","1786","4","0.22","1795","1800","1751","21643","38660139","54276704312","30390092"
"2025/02/04","1782","18","1.02","1760","1790","1760","27136","48174460","54155143944","30390092"
"2025/02/03","1764","-79","-4.29","1800","1843","1735","105335","186304454","53608122288","30390092"
"2025/01/31","1843","0","0.00","1843","1845","1820","36911","67869985","56008939556","30390092"
"2025/01/24","1843","9","0.49","1829","1850","1820","61292","112161106","56008939556","30390092"
"2025/01/23","1834","-10","-0.54","1850","1850","1805","44918","82016697","55735428728","30390092"
"2025/01/22","1844","-19","-1.02","1868","1868","1825","69011","126906597","56039329648","30390092"
"2025/01/21","1863","-7","-0.37","1870","1875","1825","30197","55686041","56616741396","30390092"
"2025/01/20","1870","-7","-0.37","1877","1880","1837","34549","64075293","56829472040","30390092"
"2025/01/17","1877","0","0.00","1888","1888","1851","43724","81526274","57042202684","30390092"
"2025/01/16","1877","15","0.81","1864","1880","1850","29293","54850518","57042202684","30390092"
"2025/01/15","1862","0","0.00","1850","1866","1831","36526","67486919","56586351304","30390092"
"2025/01/14","1862","7","0.38","1858","1867","1831","35799","66420262","56586351304","30390092"
"2025/01/13","1855","5","0.27","1830","1857","1829","42038","77624762","56373620660","30390092"
"2025/01/10","1850","12","0.65","1823","1850","1823","27245","49887865","56221670200","30390092"
"2025/01/09","1838","0","0.00","1835","1840","1810","41090","74946549","55856989096","30390092"
"2025/01/08","1838","5","0.27","1832","1840","1820","33437","61306109","55856989096","30390092"
