일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2025/07/11","4850","-15","-0.31","4890","5020","4840","874517","4291019707","162526715550","33510663"
"2025/07/10","4865","-50","-1.02","4910","4940","4860","404658","1975577822","163029375495","33510663"
"2025/07/09","4915","80","1.65","4835","4985","4790","824686","4038940777","164704908645","33510663"
"2025/07/08","4835","15","0.31","4745","4955","4700","898704","4344224912","162024055605","33510663"
"2025/07/07","4820","115","2.44","4640","5050","4535","3177755","15499551064","161521395660","33510663"
"2025/07/04","4705","-145","-2.99","4810","4900","4700","828018","3956077803","157667669415","33510663"
"2025/07/03","4850","135","2.86","4715","5290","4705","5482560","27778223152","162526715550","33510663"
"2025/07/02","4715","-85","-1.77","4810","4845","4625","458244","2157071666","158002776045","33510663"
"2025/07/01","4800","-5","-0.10","4805","4885","4765","416404","2009500973","160851182400","33510663"
"2025/06/30","4805","-70","-1.44","4920","5010","4805","225342","1102702598","161018735715","33510663"
"2025/06/27","4875","-55","-1.12","4955","4970","4870","196874","966379494","163364482125","33510663"
"2025/06/26","4930","-150","-2.95","5080","5090","4875","361382","1785803847","165207568590","33510663"
"2025/06/25","5080","0","0.00","5290","5290","5060","440674","2269196895","170234168040","33510663"
"2025/06/24","5080","145","2.94","5030","5080","4995","292261","1472830995","170234168040","33510663"
"2025/06/23","4935","-135","-2.66","4960","4975","4845","306217","1504304369","165375121905","33510663"
"2025/06/20","5070","-40","-0.78","5120","5160","5020","286221","1455318360","169899061410","33510663"
"2025/06/19","5110","-70","-1.35","5230","5240","5050","366958","1874773785","171239487930","33510663"
"2025/06/18","5180","-80","-1.52","5180","5230","5160","322091","1672890690","173585234340","33510663"
"2025/06/17","5260","-20","-0.38","5300","5330","5200","349622","1843478875","176266087380","33510663"
"2025/06/16","5280","0","0.00","5260","5350","5150","373095","1956889555","176936300640","33510663"
"2025/06/13","5280","-130","-2.40","5550","5550","5190","620385","3288351515","176936300640","33510663"
"2025/06/12","5410","-120","-2.17","5520","5520","5340","535900","2899338275","181292686830","33510663"
"2025/06/11","5530","90","1.65","5650","5660","5510","813648","4541285985","185313966390","33510663"
"2025/06/10","5440","240","4.62","5600","5710","5400","1966041","10908861160","182298006720","33510663"
"2025/06/09","5200","70","1.36","5180","5290","5120","672901","3489225180","174255447600","33510663"
"2025/06/05","5130","0","0.00","5070","5230","5000","681099","3495950600","171909701190","33510663"
"2025/06/04","5130","-40","-0.77","5150","5240","5010","692120","3561401655","171909701190","33510663"
"2025/06/02","5170","-150","-2.82","5360","5370","5140","699374","3645053985","173250127710","33510663"
"2025/05/30","5320","-630","-10.59","5690","5790","5260","1795538","9884229715","178276727160","33510663"
"2025/05/29","5950","-290","-4.65","6160","6170","5920","379209","2279760745","66462814950","11170221"
"2025/05/28","6240","-770","-10.98","6400","6470","6100","926132","5838025345","69702179040","11170221"
"2025/05/27","7010","-50","-0.71","7160","7580","6900","1228132","8964560645","78303249210","11170221"
"2025/05/26","7060","-150","-2.08","6990","7260","6930","324877","2297168650","78861760260","11170221"
"2025/05/23","7210","-360","-4.76","7260","7310","6880","419539","2972869070","80537293410","11170221"
"2025/05/22","7570","460","6.47","7780","8040","7470","2139767","16615866185","84558572970","11170221"
"2025/05/21","7110","660","10.23","7300","8000","7030","2838854","21605153940","79420271310","11170221"
"2025/05/20","6450","-230","-3.44","6760","6810","6400","249268","1624506925","72047925450","11170221"
"2025/05/19","6680","-490","-6.83","6880","6940","6550","330535","2214610165","74617076280","11170221"
"2025/05/16","7170","-250","-3.37","7600","7680","7060","344509","2503538495","80090484570","11170221"
"2025/05/15","7420","-590","-7.37","7900","8000","7120","486232","3690948575","82883039820","11170221"
"2025/05/14","8010","-350","-4.19","8360","8390","8010","441711","3611843610","89473470210","11170221"
"2025/05/13","8360","60","0.72","8450","9270","7880","3461487","30134606605","93383047560","11170221"
"2025/05/12","8300","-110","-1.31","8860","9140","8290","1171385","10200608020","92712834300","11170221"
"2025/05/09","8410","910","12.13","9120","9330","8250","4437247","39439781845","93941558610","11170221"
"2025/05/08","7500","1730","29.98","7280","7500","7010","927082","6806727980","83776657500","11170221"
"2025/05/07","5770","-83","-1.42","5837","6210","5740","2435216","43602388805","193244823300","11170221"
"2025/05/02","5853","166","2.93","5570","5980","5503","2516144","43661507060","196037378550","11170221"
"2025/04/30","5687","77","1.37","5807","5830","5336","1368360","23216720555","190452268050","11170221"
"2025/04/29","5610","550","10.88","5256","6147","5236","8958297","156169381935","187883117220","11170221"
"2025/04/28","5060","-110","-2.13","5223","5366","5060","1276143","20051781365","169452252570","11170221"
"2025/04/25","5170","-453","-8.07","5460","5497","5166","1778918","28336478095","173138425500","11170221"
"2025/04/24","5623","1297","29.99","4429","5623","4376","9432266","147763309370","188329926060","11170221"
