일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2025/07/11","1793","211","13.34","1584","1999","1578","22385410","41636420487","50882406652","28378364"
"2025/07/10","1582","-12","-0.75","1599","1607","1533","422680","666203280","44894571848","28378364"
"2025/07/09","1594","-77","-4.61","1635","1699","1585","1256861","2042888420","45235112216","28378364"
"2025/07/08","1671","63","3.92","1625","1790","1564","11752310","19909263855","47420246244","28378364"
"2025/07/07","1608","-46","-2.78","1646","1683","1605","1328438","2164412205","45632409312","28378364"
"2025/07/04","1654","-149","-8.26","1770","1910","1632","11172970","20193856729","46937814056","28378364"
"2025/07/03","1803","416","29.99","1386","1803","1386","19619483","33202443311","51166190292","28378364"
"2025/07/02","1387","4","0.29","1382","1396","1356","59418","81747773","39360790868","28378364"
"2025/07/01","1383","-7","-0.50","1400","1414","1371","44604","62192403","39247277412","28378364"
"2025/06/30","1390","14","1.02","1376","1430","1358","37294","51433947","39445925960","28378364"
"2025/06/27","1376","-8","-0.58","1420","1420","1371","42020","58302865","39048628864","28378364"
"2025/06/26","1384","-20","-1.42","1420","1485","1384","153873","219842360","39275655776","28378364"
"2025/06/25","1404","-8","-0.57","1412","1412","1390","53287","74630163","39843223056","28378364"
"2025/06/24","1412","46","3.37","1366","1415","1350","79746","111100638","40070249968","28378364"
"2025/06/23","1366","-12","-0.87","1365","1377","1340","79427","107565884","38764845224","28378364"
"2025/06/20","1378","3","0.22","1382","1414","1364","39254","53878000","39105385592","28378364"
"2025/06/19","1375","-10","-0.72","1385","1400","1371","38020","52489542","39020250500","28378364"
"2025/06/18","1385","-15","-1.07","1398","1398","1372","41301","56924983","39304034140","28378364"
"2025/06/17","1400","0","0.00","1400","1428","1370","67212","93253310","39729709600","28378364"
"2025/06/16","1400","30","2.19","1370","1409","1359","86221","119422893","39729709600","28378364"
"2025/06/13","1370","-31","-2.21","1398","1408","1343","144612","197218805","38878358680","28378364"
"2025/06/12","1401","-26","-1.82","1422","1500","1400","151218","216631886","39758087964","28378364"
"2025/06/11","1427","47","3.41","1400","1447","1385","194894","277041678","40495925428","28378364"
"2025/06/10","1380","-25","-1.78","1405","1408","1376","87912","121866421","39162142320","28378364"
"2025/06/09","1405","9","0.64","1381","1410","1381","104908","146757498","39871601420","28378364"
"2025/06/05","1396","3","0.22","1393","1420","1378","170510","237981389","39616196144","28378364"
"2025/06/04","1393","34","2.50","1364","1405","1329","208938","287021904","39531061052","28378364"
"2025/06/02","1359","30","2.26","1329","1399","1311","241173","326788745","38566196676","28378364"
"2025/05/30","1329","-43","-3.13","1362","1399","1310","569763","762360985","37714845756","28378364"
"2025/05/29","1372","90","7.02","1475","1635","1370","8115830","12481088968","38935115408","28378364"
"2025/05/28","1282","14","1.10","1268","1287","1255","106683","142953713","36381062648","28378364"
"2025/05/27","1268","-51","-3.87","1318","1318","1259","113338","144684994","35983765552","28378364"
"2025/05/26","1319","3","0.23","1315","1319","1280","66737","87122296","37431062116","28378364"
"2025/05/23","1316","-33","-2.45","1365","1365","1315","74680","98959149","37345927024","28378364"
"2025/05/22","1349","17","1.28","1332","1367","1310","60445","80557832","38282413036","28378364"
"2025/05/21","1332","-26","-1.91","1358","1368","1317","71489","96023170","37799980848","28378364"
"2025/05/20","1358","10","0.74","1365","1409","1351","97926","135061326","38537818312","28378364"
"2025/05/19","1348","-40","-2.88","1390","1420","1345","92001","125812056","38254034672","28378364"
"2025/05/16","1388","-45","-3.14","1445","1449","1382","100468","140325517","39389169232","28378364"
"2025/05/15","1433","-27","-1.85","1460","1470","1432","79749","115073824","40666195612","28378364"
"2025/05/14","1460","19","1.32","1441","1475","1409","111639","160330995","41432411440","28378364"
"2025/05/13","1441","32","2.27","1401","1467","1397","201523","290241322","40893222524","28378364"
"2025/05/12","1409","9","0.64","1400","1420","1355","102842","143635653","39985114876","28378364"
"2025/05/09","1400","2","0.14","1398","1479","1354","489680","702643535","39729709600","28378364"
"2025/05/08","1398","-12","-0.85","1409","1425","1383","112315","157336372","39672952872","28378364"
"2025/05/07","1410","30","2.17","1380","1416","1333","157099","216426471","40013493240","28378364"
"2025/05/02","1380","-35","-2.47","1390","1390","1345","150886","205689374","39162142320","28378364"
"2025/04/30","1415","-48","-3.28","1455","1455","1375","372578","522962923","40155385060","28378364"
"2025/04/29","1463","-107","-6.82","1556","1584","1426","1247264","1845825248","41517546532","28378364"
"2025/04/28","1570","195","14.18","1399","1617","1303","5097456","7636359400","44554031480","28378364"
"2025/04/25","1375","-42","-2.96","1421","1586","1345","3023190","4399267344","39020250500","28378364"
"2025/04/24","1417","-17","-1.19","1402","1466","1402","786372","1125571177","40212141788","28378364"
"2025/04/23","1434","-157","-9.87","1479","1511","1371","3925461","5639593066","40694573976","28378364"
