일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2025/07/11","4680","-95","-1.99","4775","4800","4650","791202","3731944356","228104683560","48740317"
"2025/07/10","4775","-60","-1.24","4855","4895","4740","917588","4392110407","232735013675","48740317"
"2025/07/09","4835","25","0.52","4890","5280","4775","3783797","18949588448","235659432695","48740317"
"2025/07/08","4810","-490","-9.25","5210","5230","4750","4042018","19781873479","234440924770","48740317"
"2025/07/07","5300","625","13.37","4660","5340","4615","7314951","37722050391","258323680100","48740317"
"2025/07/04","4675","0","0.00","4635","4950","4460","2993466","14010047684","227860981975","48740317"
"2025/07/03","4675","70","1.52","4580","5700","3320","25052493","120262848834","227860981975","48740317"
"2025/07/02","4605","-110","-2.33","4720","4805","4600","490508","2294734766","224449159785","48740317"
"2025/07/01","4715","20","0.43","4680","4805","4630","428161","2024818930","229810594655","48740317"
"2025/06/30","4695","-65","-1.37","4790","4860","4680","195777","926301755","228835788315","48740317"
"2025/06/27","4760","-320","-6.30","4720","4945","4715","398956","1921192467","232003908920","48740317"
"2025/06/26","5080","0","0.00","5000","5250","4940","463048","2362284475","247600810360","48740317"
"2025/06/25","5080","155","3.15","4945","5200","4810","594151","2972103543","247600810360","48740317"
"2025/06/24","4925","145","3.03","4900","5000","4815","352880","1727145358","240046061225","48740317"
"2025/06/23","4780","-175","-3.53","4850","4850","4500","336118","1592289325","232978715260","48740317"
"2025/06/20","4955","90","1.85","4940","5020","4800","295766","1452971522","241508270735","48740317"
"2025/06/19","4865","-255","-4.98","5140","5140","4770","662769","3242986373","237121642205","48740317"
"2025/06/18","5120","-230","-4.30","5200","5320","5060","603242","3109104050","249550423040","48740317"
"2025/06/17","5350","-260","-4.63","5620","5710","5320","612403","3350900760","260760695950","48740317"
"2025/06/16","5610","230","4.28","5180","5690","5080","852445","4614093690","273433178370","48740317"
"2025/06/13","5380","-200","-3.58","5580","5620","5270","839419","4553691580","262222905460","48740317"
"2025/06/12","5580","120","2.20","5230","5640","5080","1710709","9205157165","270622985940","48498743"
"2025/06/11","5460","-80","-1.44","6400","6410","5350","5273025","30839780480","264803136780","48498743"
"2025/06/10","5540","1225","28.39","5600","5600","5120","11149354","61467917330","268683036220","48498743"
"2025/06/09","4315","200","4.86","4240","4335","4095","340959","1442757828","209272076045","48498743"
"2025/06/05","4115","30","0.73","4100","4150","4010","251368","1024820629","199572327445","48498743"
"2025/06/04","4085","-285","-6.52","4345","4345","4070","489687","2039028621","198117365155","48498743"
"2025/06/02","4370","280","6.85","4205","4430","4060","884222","3766167894","211939506910","48498743"
"2025/05/30","4090","285","7.49","3805","4180","3780","928448","3702469599","198359858870","48498743"
"2025/05/29","3805","10","0.26","3800","3865","3765","217976","829089677","184537717115","48498743"
"2025/05/28","3795","205","5.71","3675","3845","3585","624210","2332397764","184052729685","48498743"
"2025/05/27","3590","-100","-2.71","3655","3860","3545","374797","1371353241","174110487370","48498743"
"2025/05/26","3690","60","1.65","3625","3715","3560","221905","807426715","178960361670","48498743"
"2025/05/23","3630","-20","-0.55","3660","3700","3525","329179","1182337011","176050437090","48498743"
"2025/05/22","3650","-35","-0.95","3690","3735","3605","229166","842902455","177020411950","48498743"
"2025/05/21","3685","0","0.00","3700","3780","3620","306153","1124988975","178717867955","48498743"
"2025/05/20","3685","25","0.68","3725","3725","3625","196031","718462891","178717867955","48498743"
"2025/05/19","3660","35","0.97","3795","3950","3645","630218","2375044775","177505399380","48498743"
"2025/05/16","3625","-10","-0.28","3630","3655","3570","117024","421807469","175807943375","48498743"
"2025/05/15","3635","-10","-0.27","3675","3675","3600","134356","486419671","176292930805","48498743"
"2025/05/14","3645","-35","-0.95","3700","3870","3565","467895","1723373815","176777918235","48498743"
"2025/05/13","3680","-110","-2.90","3870","3870","3660","325842","1222517215","178475374240","48498743"
"2025/05/12","3790","-60","-1.56","3800","3850","3740","224932","850679963","183810235970","48498743"
"2025/05/09","3850","30","0.79","3870","3895","3800","201185","774432319","186720160550","48498743"
"2025/05/08","3820","95","2.55","3730","4100","3730","567983","2232449997","185265198260","48498743"
"2025/05/07","3725","-140","-3.62","3840","3840","3595","222205","828113560","180657817675","48498743"
"2025/05/02","3865","-30","-0.77","3925","3945","3805","217771","844049385","187447641695","48498743"
"2025/04/30","3895","20","0.52","4075","4150","3870","297986","1177578198","188902603985","48498743"
"2025/04/29","3875","30","0.78","3810","3920","3700","220382","841242163","187932629125","48498743"
"2025/04/28","3845","-225","-5.53","4105","4150","3820","509330","2032299478","186477666835","48498743"
"2025/04/25","4070","160","4.09","3915","4215","3870","649513","2647125498","197389884010","48498743"
"2025/04/24","3910","-65","-1.64","3970","3990","3860","220407","864125903","189630085130","48498743"
"2025/04/23","3975","170","4.47","4050","4055","3810","436225","1711770969","192782503425","48498743"
"2025/04/22","3805","-135","-3.43","4100","4150","3750","713086","2800311344","184537717115","48498743"
"2025/04/21","3940","370","10.36","3635","4210","3610","2168541","8765514788","191085047420","48498743"
"2025/04/18","3570","130","3.78","3520","3570","3390","466568","1633279680","173140512510","48498743"
"2025/04/17","3440","215","6.67","3205","3765","3170","1988275","6986714545","166835675920","48498743"
"2025/04/16","3225","-80","-2.42","3340","3340","3210","200051","649161050","156408446175","48498743"
"2025/04/15","3305","5","0.15","3335","3335","3185","332958","1086898915","160288345615","48498743"
"2025/04/14","3300","55","1.69","3290","3320","3205","331826","1088211832","160045851900","48498743"
"2025/04/11","3245","-45","-1.37","3180","3295","3150","438528","1409680567","157378421035","48498743"
"2025/04/10","3290","140","4.44","3230","3300","3125","666139","2140881609","159560864470","48498743"
"2025/04/09","3150","-95","-2.93","3100","3200","3050","606680","1888020642","152771040450","48498743"
"2025/04/08","3245","-130","-3.85","3445","3470","3245","629094","2097193822","157378421035","48498743"
"2025/04/07","3375","-315","-8.54","3510","3535","3300","744428","2511661527","163683257625","48498743"
"2025/04/04","3690","-25","-0.67","3630","3885","3500","1052290","3863207477","178960361670","48498743"
"2025/04/03","3715","-275","-6.89","3850","3850","3665","983506","3675099572","180172830245","48498743"
"2025/04/02","3990","-195","-4.66","4295","4335","3950","979006","3970855547","193509984570","48498743"
"2025/04/01","4185","-315","-7.00","4415","4445","4150","1106117","4751486840","202967239455","48498743"
"2025/03/31","4500","305","7.27","4800","4860","4135","2826080","12746149762","218244343500","48498743"
"2025/03/28","4195","-25","-0.59","4220","4300","3950","1901122","7868211902","203452226885","48498743"
"2025/03/27","4220","-140","-3.21","4320","4390","4140","1441294","6122288137","204664695460","48498743"
"2025/03/26","4360","120","2.83","4240","4850","4240","6324269","29234231072","211454519480","48498743"
"2025/03/25","4240","-160","-3.64","4375","4500","4200","2095831","9108245855","205634670320","48498743"
"2025/03/24","4400","-125","-2.76","4400","4600","4145","3121806","13550784660","213394469200","48498743"
"2025/03/21","4525","-115","-2.48","4570","4615","4155","3532468","15499510232","219456812075","48498743"
"2025/03/20","4640","60","1.31","4850","5280","4565","6278588","30951391128","225034167520","48498743"
"2025/03/19","4580","-330","-6.72","4910","5020","4530","4449232","21061923976","222124242940","48498743"
"2025/03/18","4910","710","16.90","4210","5150","4200","16340973","78844198254","238128828130","48498743"
"2025/03/17","4200","-50","-1.18","4460","4530","4165","5430283","23312819968","203694720600","48498743"
"2025/03/14","4250","780","22.48","3620","4455","3575","17839063","74892526596","206119657750","48498743"
"2025/03/13","3470","425","13.96","3000","3880","3000","17905192","64348465284","168290638210","48498743"
"2025/03/12","3045","-165","-5.14","3170","3200","3020","2978586","9194002491","147678672435","48498743"
"2025/03/11","3210","170","5.59","2920","3270","2870","2311522","7058323141","155680965030","48498743"
"2025/03/10","3040","-50","-1.62","3055","3100","2925","2019897","6076126817","147436178720","48498743"
"2025/03/07","3090","260","9.19","2570","3230","2550","8464302","25335198457","149861115870","48498743"
"2025/03/06","2830","-120","-4.07","2990","2990","2745","2618419","7352749635","137251442690","48498743"
"2025/03/05","2950","-110","-3.59","2995","3150","2940","4377887","13252307147","143071291850","48498743"
"2025/03/04","3060","-130","-4.08","3445","3645","2855","20735053","68102880367","148406153580","48498743"
"2025/02/28","3190","735","29.94","2795","3190","2695","19445916","58907491330","154710990170","48498743"
"2025/02/27","2455","-205","-7.71","2660","2695","2415","2523570","6393560910","119064414065","48498743"
"2025/02/26","2660","-120","-4.32","2780","2785","2615","2087509","5566562030","129006656380","48498743"
"2025/02/25","2780","-200","-6.71","2900","2930","2755","2712928","7603257900","134826505540","48498743"
"2025/02/24","2980","150","5.30","2900","3250","2880","8255781","25301578750","144526254140","48498743"
"2025/02/21","2830","50","1.80","2855","2950","2740","3818338","10879052775","137251442690","48498743"
"2025/02/20","2780","-180","-6.08","2920","2960","2500","7427900","20427464740","134826505540","48498743"
"2025/02/19","2960","-215","-6.77","3235","3325","2950","8952121","27851310555","143556279280","48498743"
"2025/02/18","3175","-185","-5.51","2405","3475","2405","44833982","127255752210","153983509025","48498743"
"2025/02/17","3360","-1440","-30.00","3360","3360","3360","1123902","3778174080","162955776480","48498743"
"2025/02/14","4800","-2050","-29.93","6850","6940","4800","1844675","9826020540","232793966400","48498743"
"2025/02/13","6850","-200","-2.84","6750","7000","6750","366789","2512373390","332216389550","48498743"
"2025/02/12","7050","-110","-1.54","7160","7260","6950","293322","2072779680","341916138150","48498743"
"2025/02/11","7160","60","0.85","6970","7200","6970","185250","1317979510","346363081120","48374732"
"2025/02/10","7100","300","4.41","6900","7420","6710","545910","3894948710","343460597200","48374732"
"2025/02/07","6800","0","0.00","6800","6950","6730","185126","1263433860","328948177600","48374732"
"2025/02/06","6800","30","0.44","6850","6940","6670","269433","1817701830","328948177600","48374732"
"2025/02/05","6770","-40","-0.59","6930","6940","6720","200109","1359743680","327496935640","48374732"
"2025/02/04","6810","140","2.10","6760","6990","6750","272082","1868970050","329431924920","48374732"
"2025/02/03","6670","-290","-4.17","6900","6960","6650","343952","2326821730","322183858090","48303427"
"2025/01/31","6960","10","0.14","7010","7140","6900","225156","1572136100","336191851920","48303427"
"2025/01/24","6950","50","0.72","7010","7040","6800","416913","2883299400","335708817650","48303427"
"2025/01/23","6900","-140","-1.99","7000","7050","6860","335527","2324210360","333293646300","48303427"
"2025/01/22","7040","-250","-3.43","7290","7330","6980","399087","2818754410","340056126080","48303427"
"2025/01/21","7290","-230","-3.06","7500","7560","7110","451687","3290251640","352131982830","48303427"
"2025/01/20","7520","-580","-7.16","8100","8240","7300","780401","6099034220","363241771040","48303427"
"2025/01/17","8100","570","7.57","7540","8120","7300","732990","5592052680","391257758700","48303427"
"2025/01/16","7530","480","6.81","7160","7620","6990","759835","5519898870","363724805310","48303427"
"2025/01/15","7050","-130","-1.81","7160","7250","6750","959522","6700070260","336322964250","47705385"
"2025/01/14","7180","-100","-1.37","7300","7560","7110","464065","3383121100","342524664300","47705385"
"2025/01/13","7280","-630","-7.96","7900","7910","7260","704775","5236156280","343778788080","47222361"
"2025/01/10","7910","-90","-1.13","8090","8090","7890","399659","3187305400","369583114390","46723529"
"2025/01/09","8000","-310","-3.73","8300","8300","7970","508011","4094743960","373788232000","46723529"
"2025/01/08","8310","40","0.48","8360","8430","8200","197695","1644351220","378639665400","45564340"
"2025/01/07","8270","-180","-2.13","8400","8650","8260","238679","2005248600","376817091800","45564340"
"2025/01/06","8450","290","3.55","8170","8530","8170","238051","1992049100","385018673000","45564340"
"2025/01/03","8160","-160","-1.92","8340","8470","8020","289376","2399176570","371805014400","45564340"
"2025/01/02","8320","-30","-0.36","8010","8800","7910","362095","2996647580","379095308800","45564340"
"2024/12/30","8350","-1250","-13.02","9600","10040","7110","1429419","12119110130","380462239000","45564340"
"2024/12/27","9600","100","1.05","9500","9830","9350","232955","2239986420","437417664000","45564340"
"2024/12/26","9500","-200","-2.06","9700","9900","9300","277319","2678872610","432861230000","45564340"
"2024/12/24","9700","70","0.73","9680","10000","9620","313882","3080732460","441974098000","45564340"
"2024/12/23","9630","20","0.21","9620","9820","9480","196505","1894255540","438784594200","45564340"
"2024/12/20","9610","550","6.07","9060","9880","9010","676504","6473727380","437873307400","45564340"
"2024/12/19","9060","30","0.33","9210","9590","8800","382911","3502865200","412812920400","45564340"
"2024/12/18","9030","400","4.63","8630","9130","8580","294072","2625827570","411445990200","45564340"
"2024/12/17","8630","-20","-0.23","8550","8660","8470","108520","929523860","393220254200","45564340"
"2024/12/16","8650","230","2.73","8530","8680","8360","146348","1240545630","394131541000","45564340"
"2024/12/13","8420","120","1.45","8310","8690","8220","201603","1717054450","383651742800","45564340"
"2024/12/12","8300","220","2.72","8180","8390","8060","176639","1457120460","378184022000","45564340"
"2024/12/11","8080","80","1.00","8090","8230","8020","132620","1074396570","368159867200","45564340"
"2024/12/10","8000","340","4.44","7650","8070","7650","170584","1354212450","364514720000","45564340"
"2024/12/09","7660","-530","-6.47","8000","8190","7510","424207","3326817220","349022844400","45564340"
"2024/12/06","8190","-300","-3.53","8540","8570","8110","274330","2262154510","373171944600","45564340"
"2024/12/05","8490","280","3.41","8170","8550","8050","266590","2215552200","386841246600","45564340"
"2024/12/04","8210","-1130","-12.10","8440","8690","8070","1220045","10167516650","374083231400","45564340"
"2024/12/03","9340","660","7.60","8680","10400","8660","1844778","17575245690","425570935600","45564340"
"2024/12/02","8680","180","2.12","8500","8810","8500","187748","1629303100","395498471200","45564340"
"2024/11/29","8500","-150","-1.73","8680","8780","8470","96922","832486000","387296890000","45564340"
"2024/11/28","8650","20","0.23","8640","8900","8620","165093","1441201920","394131541000","45564340"
"2024/11/27","8630","230","2.74","8460","8940","8250","209052","1807398180","393220254200","45564340"
"2024/11/26","8400","-260","-3.00","8670","8750","8380","211101","1799934740","382740456000","45564340"
"2024/11/25","8660","20","0.23","9150","9150","8510","153019","1344941900","394587184400","45564340"
"2024/11/22","8640","-90","-1.03","8800","8880","8610","146771","1281438990","393675897600","45564340"
"2024/11/21","8730","490","5.95","8220","8890","8040","346644","2969013520","397776688200","45564340"
