일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2025/07/11","5850","180","3.17","5710","6170","5680","1646265","9786302205","286566456150","48985719"
"2025/07/10","5670","230","4.23","5480","5750","5300","937009","5218333425","277749026730","48985719"
"2025/07/09","5440","70","1.30","5400","5470","5290","416227","2239565715","266482311360","48985719"
"2025/07/08","5370","140","2.68","5230","5460","5180","1043793","5591730290","263053311030","48985719"
"2025/07/07","5230","405","8.39","4830","5350","4830","2312270","12017910688","256195310370","48985719"
"2025/07/04","4825","85","1.79","4745","4980","4745","991256","4830198107","236356094175","48985719"
"2025/07/03","4740","10","0.21","4730","4890","4650","532672","2547636681","232192308060","48985719"
"2025/07/02","4730","-10","-0.21","4750","4795","4550","500734","2330895701","231702450870","48985719"
"2025/07/01","4740","195","4.29","4505","4795","4505","883898","4158539667","232192308060","48985719"
"2025/06/30","4545","10","0.22","4535","4555","4430","475860","2136028292","222640092855","48985719"
"2025/06/27","4535","5","0.11","4530","4575","4440","556470","2505216574","222150235665","48985719"
"2025/06/26","4530","-165","-3.51","4695","4700","4440","983184","4455581814","221905307070","48985719"
"2025/06/25","4695","-20","-0.42","4710","4740","4575","696188","3241682559","229987950705","48985719"
"2025/06/24","4715","-110","-2.28","4930","4930","4675","671943","3184922282","230967665085","48985719"
"2025/06/23","4825","175","3.76","4610","4870","4560","1244100","5908707848","236356094175","48985719"
"2025/06/20","4650","-50","-1.06","4700","4725","4555","638696","2958767648","227783593350","48985719"
"2025/06/19","4700","35","0.75","4675","4800","4570","804518","3757316724","230232879300","48985719"
"2025/06/18","4665","-10","-0.21","4675","4775","4610","735870","3451400610","228518379135","48985719"
"2025/06/17","4675","75","1.63","4600","4675","4535","966157","4457646818","229008236325","48985719"
"2025/06/16","4600","280","6.48","4305","4610","4205","2023153","9148525321","225334307400","48985719"
"2025/06/13","4320","-15","-0.35","4400","4405","4260","920101","3970543961","211618306080","48985719"
"2025/06/12","4335","20","0.46","4290","4395","4265","7209117","29631045935","212353091865","48985719"
"2025/06/11","4315","320","8.01","4000","4350","3950","2039542","8636071082","211052798875","48911425"
"2025/06/10","3995","205","5.41","3825","4125","3815","1811224","7273861188","195401142875","48911425"
"2025/06/09","3790","85","2.29","3740","3870","3705","410915","1570033559","185374300750","48911425"
"2025/06/05","3705","5","0.14","3700","3750","3665","242154","901108578","181216829625","48911425"
"2025/06/04","3700","75","2.07","3670","3745","3620","373173","1373412815","180972272500","48911425"
"2025/06/02","3625","80","2.26","3545","3635","3515","200475","721012785","177303915625","48911425"
"2025/05/30","3545","-5","-0.14","3550","3630","3515","124960","448209565","173391001625","48911425"
"2025/05/29","3550","40","1.14","3520","3585","3500","248894","884437965","173635558750","48911425"
"2025/05/28","3510","-95","-2.64","3610","3675","3500","226479","807200617","171679101750","48911425"
"2025/05/27","3605","115","3.30","3490","3630","3440","323046","1158245886","176325687125","48911425"
"2025/05/26","3490","-95","-2.65","3585","3620","3480","153984","543016150","159646074890","45743861"
"2025/05/23","3585","100","2.87","3480","3620","3430","280040","1001268118","163991741685","45743861"
"2025/05/22","3485","0","0.00","3450","3590","3400","149872","522297481","159417355585","45743861"
"2025/05/21","3485","-85","-2.38","3600","3600","3485","166952","586248103","159417355585","45743861"
"2025/05/20","3570","85","2.44","3485","3625","3485","221985","794177730","163305583770","45743861"
"2025/05/19","3485","-65","-1.83","3550","3600","3445","470741","1650107756","158640611815","45520979"
"2025/05/16","3550","-100","-2.74","3600","3705","3545","399859","1433879433","161599475450","45520979"
"2025/05/15","3650","-210","-5.44","3820","3820","3645","688815","2537831881","166151573350","45520979"
"2025/05/14","3860","145","3.90","3650","3860","3650","304599","1155675498","175710978940","45520979"
"2025/05/13","3715","-100","-2.62","3765","3765","3590","555903","2043243328","169110436985","45520979"
"2025/05/12","3815","-100","-2.55","3920","3920","3815","176031","677614261","173662534885","45520979"
"2025/05/09","3915","110","2.89","3805","3925","3780","220657","855533971","178214632785","45520979"
"2025/05/08","3805","35","0.93","3750","3830","3715","251188","951468275","173207325095","45520979"
"2025/05/07","3770","-70","-1.82","3800","3830","3700","372989","1398893162","171614090830","45520979"
"2025/05/02","3840","-25","-0.65","3900","3950","3765","521042","2012850067","174800559360","45520979"
