일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2025/07/11","3785","-105","-2.70","3920","3940","3775","495789","1894511640","119094207440","31464784"
"2025/07/10","3890","90","2.37","3845","3925","3800","404802","1561097257","122398009760","31464784"
"2025/07/09","3800","-40","-1.04","3840","3930","3800","399326","1541470940","119566179200","31464784"
"2025/07/08","3840","-55","-1.41","3895","3940","3815","442401","1704536464","120824770560","31464784"
"2025/07/07","3895","-50","-1.27","3940","3970","3870","418817","1638016388","122555333680","31464784"
"2025/07/04","3945","-105","-2.59","4060","4155","3910","668126","2668326567","124128572880","31464784"
"2025/07/03","4050","140","3.58","3915","4180","3910","1167317","4720469986","127432375200","31464784"
"2025/07/02","3910","-30","-0.76","3985","3995","3850","453487","1766268510","123027305440","31464784"
"2025/07/01","3940","-35","-0.88","4085","4150","3910","449600","1795739789","123971248960","31464784"
"2025/06/30","3975","-145","-3.52","4095","4150","3940","623429","2502872513","125072516400","31464784"
"2025/06/27","4120","40","0.98","4140","4170","4020","537414","2193387539","129634910080","31464784"
"2025/06/26","4080","-195","-4.56","4275","4275","4010","1035356","4257045930","128376318720","31464784"
"2025/06/25","4275","-135","-3.06","4420","4490","4245","901854","3900125257","134511951600","31464784"
"2025/06/24","4410","140","3.28","4300","4535","4295","1305099","5787709312","138759697440","31464784"
"2025/06/23","4270","-185","-4.15","4300","4380","4205","914674","3892374669","134354627680","31464784"
"2025/06/20","4455","-45","-1.00","4465","4520","4330","1134053","5009938668","140175612720","31464784"
"2025/06/19","4500","-150","-3.23","4740","4740","4430","1575218","7143704366","141591528000","31464784"
"2025/06/18","4650","180","4.03","4500","4690","4380","3211290","14681861564","144634929900","31104286"
"2025/06/17","4470","255","6.05","4220","4590","4115","4330527","19275410736","139036158420","31104286"
"2025/06/16","4215","150","3.69","4080","4300","4050","1073027","4515271766","131104565490","31104286"
"2025/06/13","4065","-245","-5.68","4330","4350","4055","1298591","5373664950","126438922590","31104286"
"2025/06/12","4310","-140","-3.15","4400","4440","4300","1091017","4753165927","134059472660","31104286"
"2025/06/11","4450","0","0.00","4470","4495","4350","1360930","6021708958","138414072700","31104286"
"2025/06/10","4450","185","4.34","4300","4655","4120","5921257","26381933456","138414072700","31104286"
"2025/06/09","4265","210","5.18","4050","4525","4045","8444765","36760477840","132659779790","31104286"
"2025/06/05","4055","-50","-1.22","4090","4185","3990","1915271","7810492143","122349232035","30172437"
"2025/06/04","4105","-225","-5.20","4500","4515","4075","3341246","14124389143","123857853885","30172437"
"2025/06/02","4330","175","4.21","4105","4485","4030","6003242","25966159022","130646652210","30172437"
"2025/05/30","4155","215","5.46","4130","4890","4055","29096935","131681761739","125350832160","30168672"
"2025/05/29","3940","155","4.10","3770","3940","3720","1430150","5528589872","118864567680","30168672"
"2025/05/28","3785","310","8.92","3525","4000","3450","5751452","21843077495","114188423520","30168672"
"2025/05/27","3475","-125","-3.47","3630","3730","3445","1172166","4161927556","104836135200","30168672"
"2025/05/26","3600","35","0.98","3635","3885","3560","1573625","5800534569","108607219200","30168672"
"2025/05/23","3565","-85","-2.33","3685","3815","3515","1035328","3780265704","107551315680","30168672"
"2025/05/22","3650","-355","-8.86","3950","3950","3620","2249771","8376339867","110115652800","30168672"
"2025/05/21","4005","-130","-3.14","4135","4155","3980","1292389","5251484747","120825531360","30168672"
"2025/05/20","4135","10","0.24","4165","4325","4105","1441999","6039385421","124747458720","30168672"
"2025/05/19","4125","-315","-7.09","4440","4640","4060","2977219","12724895509","124445772000","30168672"
"2025/05/16","4440","40","0.91","4395","4490","4230","1839668","8017626896","133948903680","30168672"
"2025/05/15","4400","110","2.56","4300","4725","4200","9740039","43575642557","116213495200","26412158"
"2025/05/14","4290","-610","-12.45","4235","4480","4145","6648671","28461897561","113308157820","26412158"
"2025/05/13","4900","-430","-8.07","5440","5650","4900","7809770","40666940139","129419574200","26412158"
"2025/05/12","5330","930","21.14","4585","5720","4450","34669819","180953601660","140776802140","26412158"
"2025/05/09","4400","130","3.04","4265","4560","4055","3274560","14100706168","116213495200","26412158"
"2025/05/08","4270","-220","-4.90","4490","4500","4095","2374875","10120939678","111871224500","26199350"
"2025/05/07","4490","270","6.40","4250","4620","4045","4509926","19811548037","117635081500","26199350"
"2025/05/02","4220","-140","-3.21","4010","4240","3955","1412932","5805625316","110561257000","26199350"
"2025/04/30","4360","-370","-7.82","4550","4625","4250","2033713","8961325975","114229166000","26199350"
"2025/04/29","4730","270","6.05","4455","4730","4245","3020115","13624216202","123922925500","26199350"
"2025/04/28","4460","40","0.90","4470","4595","4375","2096926","9421316783","113097514020","25358187"
"2025/04/25","4420","-235","-5.05","4655","4690","4310","4047143","18288612220","112083186540","25358187"
"2025/04/24","4655","-290","-5.86","4945","5240","4505","8127681","39223941900","118042360485","25358187"
"2025/04/23","4945","-1405","-22.13","6200","6200","4785","12054765","63068367151","125396234715","25358187"
"2025/04/22","6350","-800","-11.19","9290","9290","5950","52492838","385406980255","161024487450","25358187"
"2025/04/21","7150","1650","30.00","6540","7150","6510","3868184","26363387775","181311037050","25358187"
"2025/04/18","5500","1265","29.87","4400","5500","4300","19839107","101452540507","139470028500","25358187"
"2025/04/17","4235","975","29.91","3300","4235","3260","12548864","48661317410","105285712455","24860853"
"2025/04/16","3260","75","2.35","3190","3335","3125","1658704","5400545979","81046380780","24860853"
"2025/04/15","3185","-465","-12.74","3620","3620","3165","3275574","10938558507","79181816805","24860853"
"2025/04/14","3650","570","18.51","3730","4000","3565","9329954","35348551425","90742113450","24860853"
"2025/04/11","3080","0","0.00","3120","3120","2990","211438","646690350","76571427240","24860853"
"2025/04/10","3080","135","4.58","3050","3130","3030","216915","668933565","76571427240","24860853"
"2025/04/09","2945","-240","-7.54","3105","3250","2860","432714","1308591392","73215212085","24860853"
"2025/04/08","3185","-115","-3.48","3315","3380","3150","294703","949075140","79181816805","24860853"
"2025/04/07","3300","50","1.54","3220","3405","3100","434991","1432385652","82040814900","24860853"
"2025/04/04","3250","60","1.88","3100","3330","3085","287254","919019798","80797772250","24860853"
"2025/04/03","3190","-45","-1.39","3150","3265","3125","242482","774551930","79215608010","24832479"
"2025/04/02","3235","-65","-1.97","3340","3390","3180","470393","1524803361","80333069565","24832479"
"2025/04/01","3300","-215","-6.12","3515","3670","3255","898082","3122136681","81947180700","24832479"
"2025/03/31","3515","-210","-5.64","3630","3755","3475","340229","1210423609","87286163685","24832479"
"2025/03/28","3725","-395","-9.59","4160","4360","3555","2905924","11377488811","92500984275","24832479"
"2025/03/27","4120","505","13.97","3615","4220","3550","3176604","12718193576","102309813480","24832479"
"2025/03/26","3615","70","1.97","3485","3670","3395","458624","1619900955","87311902050","24152670"
"2025/03/25","3545","0","0.00","3535","3675","3500","545364","1946393506","85621215150","24152670"
"2025/03/24","3545","-420","-10.59","3915","4050","3500","919303","3421693102","85621215150","24152670"
"2025/03/21","3965","-195","-4.69","4140","4435","3965","2072451","8746174158","95765336550","24152670"
"2025/03/20","4160","275","7.08","4060","4250","3890","1292383","5267604749","100475107200","24152670"
"2025/03/19","3885","-60","-1.52","3980","4110","3860","338768","1342462789","93833122950","24152670"
"2025/03/18","3945","-155","-3.78","4080","4135","3890","420894","1672026149","95282283150","24152670"
"2025/03/17","4100","-75","-1.80","4170","4240","4025","436129","1794101587","99025947000","24152670"
"2025/03/14","4175","265","6.78","3920","4310","3905","2605982","10881073017","100837397250","24152670"
"2025/03/13","3910","110","2.89","3830","3960","3720","397733","1544545272","94436939700","24152670"
"2025/03/12","3800","-70","-1.81","3870","3940","3770","381918","1469586802","91780146000","24152670"
"2025/03/11","3870","10","0.26","3700","3940","3670","563839","2135942374","93470832900","24152670"
"2025/03/10","3860","60","1.58","3820","4175","3775","2801984","11110785989","93229306200","24152670"
"2025/03/07","3800","180","4.97","3730","3895","3600","1704126","6396355609","91780146000","24152670"
"2025/03/06","3620","-40","-1.09","3790","4165","3585","5069010","19777910664","87432665400","24152670"
"2025/03/05","3660","-65","-1.74","3720","3845","3530","1263051","4676106895","88398772200","24152670"
"2025/03/04","3725","-235","-5.93","3925","4090","3605","2009860","7607664965","89968695750","24152670"
"2025/02/28","3960","545","15.96","3360","4270","3345","11209857","44086512595","95644573200","24152670"
"2025/02/27","3415","20","0.59","3395","3480","3315","419386","1421879475","82481368050","24152670"
"2025/02/26","3395","0","0.00","3350","3465","3330","457648","1557487000","81998314650","24152670"
"2025/02/25","3395","40","1.19","3320","3425","3270","474266","1585922260","81998314650","24152670"
"2025/02/24","3355","20","0.60","3300","3360","3250","435765","1438952570","81032207850","24152670"
"2025/02/21","3335","85","2.62","3190","3360","3160","632588","2062493545","80549154450","24152670"
"2025/02/20","3250","-55","-1.66","3330","3370","3225","831979","2732858195","78496177500","24152670"
"2025/02/19","3305","65","2.01","3280","3400","3170","1882236","6207995770","79824574350","24152670"
"2025/02/18","3240","120","3.85","3380","3485","3220","2768042","9163766765","78254650800","24152670"
"2025/02/17","3120","115","3.83","3015","3240","3015","1955292","6229786260","75356330400","24152670"
"2025/02/14","3005","5","0.17","3000","3170","2920","2427220","7386759865","72578773350","24152670"
"2025/02/13","3000","-515","-14.65","3865","4050","2990","8994553","31023659470","72458010000","24152670"
"2025/02/12","3515","810","29.94","3515","3515","3200","3224699","11116164495","84896635050","24152670"
"2025/02/11","2705","-75","-2.70","2775","2800","2695","219943","601299390","65332972350","24152670"
"2025/02/10","2780","15","0.54","2765","2805","2705","75171","207963485","67144422600","24152670"
"2025/02/07","2765","20","0.73","2745","2780","2680","177798","481838295","66782132550","24152670"
"2025/02/06","2745","-25","-0.90","2750","2830","2695","291620","800076640","66299079150","24152670"
"2025/02/05","2770","5","0.18","2775","2830","2755","130190","361602900","66902895900","24152670"
"2025/02/04","2765","90","3.36","2645","2780","2635","174126","475159825","66782132550","24152670"
"2025/02/03","2675","-75","-2.73","2710","2795","2630","156357","419265730","64608392250","24152670"
"2025/01/31","2750","-140","-4.84","2865","2865","2750","251605","701998135","66419842500","24152670"
"2025/01/24","2890","60","2.12","2830","2910","2780","327296","928181110","69801216300","24152670"
"2025/01/23","2830","-70","-2.41","2915","2940","2820","203837","582819090","68352056100","24152670"
"2025/01/22","2900","-90","-3.01","2880","3015","2855","553182","1614300865","70042743000","24152670"
"2025/01/21","2990","255","9.32","2710","3500","2710","4363259","13098063645","72216483300","24152670"
"2025/01/20","2735","-40","-1.44","2730","2795","2690","44462","121983990","66057552450","24152670"
"2025/01/17","2775","-20","-0.72","2795","2795","2750","45349","125663525","65905159425","23749607"
"2025/01/16","2795","15","0.54","2745","2810","2665","180929","499268330","66380151565","23749607"
"2025/01/15","2780","-140","-4.79","2895","2920","2730","251676","702876295","66023907460","23749607"
"2025/01/14","2920","-30","-1.02","2900","3030","2850","171135","493418405","69348852440","23749607"
"2025/01/13","2950","-5","-0.17","2930","3300","2665","1428441","4294298230","70061340650","23749607"
"2025/01/10","2955","-55","-1.83","3005","3090","2910","96263","283298315","70180088685","23749607"
"2025/01/09","3010","-80","-2.59","3145","3145","2990","116209","352416255","71486317070","23749607"
"2025/01/08","3090","45","1.48","3015","3160","2965","98926","304383010","73386285630","23749607"
"2025/01/07","3045","45","1.50","3020","3065","2965","96793","292068560","72317553315","23749607"
"2025/01/06","3000","60","2.04","2895","3010","2875","165131","486701940","71248821000","23749607"
"2025/01/03","2940","75","2.62","2840","2975","2790","228548","662023350","69823844580","23749607"
"2025/01/02","2865","-5","-0.17","2825","2920","2800","71551","204250750","68042624055","23749607"
