일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2025/07/11","25850","650","2.58","25150","25950","25050","2567076","65652651150","19195990300850","742591501"
"2025/07/10","25200","300","1.20","24900","25250","24450","3408094","85001597025","18713305825200","742591501"
"2025/07/09","24900","-500","-1.97","25950","25950","24900","3560707","89742493225","18490528374900","742591501"
"2025/07/08","25400","1950","8.32","23700","25500","23550","4141325","103833752825","18861824125400","742591501"
"2025/07/07","23450","550","2.40","23050","23500","22700","1294598","30239662525","17413770698450","742591501"
"2025/07/04","22900","-150","-0.65","23400","23650","22800","1871244","43293964025","17005345372900","742591501"
"2025/07/03","23050","450","1.99","22700","23100","22550","1489222","34177453550","17116734098050","742591501"
"2025/07/02","22600","150","0.67","22450","22650","22050","2357678","52775955250","16782567922600","742591501"
"2025/07/01","22450","0","0.00","22800","23000","22350","2625837","59456563325","16671179197450","742591501"
"2025/06/30","22450","-50","-0.22","22250","22450","21950","2117265","47258939750","16671179197450","742591501"
"2025/06/27","22500","-50","-0.22","22600","22850","22300","2278918","51416818225","16708308772500","742591501"
"2025/06/26","22550","50","0.22","22500","22800","22000","2807879","62785351370","16745438347550","742591501"
"2025/06/25","22500","300","1.35","22350","22750","22000","3278835","73595632425","16708308772500","742591501"
"2025/06/24","22200","850","3.98","21800","22200","21600","2588030","57076848975","16485531322200","742591501"
"2025/06/23","21350","0","0.00","21050","21450","20850","2615392","55357534525","15854328546350","742591501"
"2025/06/20","21350","500","2.40","20750","21350","20700","4291456","90999125625","15854328546350","742591501"
"2025/06/19","20850","-50","-0.24","20900","21100","20650","2268869","47096286200","15483032795850","742591501"
"2025/06/18","20900","0","0.00","20750","21150","20600","3772079","78637408325","15520162370900","742591501"
"2025/06/17","20900","0","0.00","20850","21300","20600","3783122","78929806850","15520162370900","742591501"
"2025/06/16","20900","350","1.70","20550","20900","20250","1930722","39754568775","15520162370900","742591501"
"2025/06/13","20550","0","0.00","20550","20800","20300","2927534","60115533100","15260255345550","742591501"
"2025/06/12","20550","100","0.49","20350","20650","20300","3270182","67062913125","15260255345550","742591501"
"2025/06/11","20450","-50","-0.24","20450","20650","20050","2588639","52859467175","15185996195450","742591501"
"2025/06/10","20500","0","0.00","20550","21100","20250","3775865","78139377850","15223125770500","742591501"
"2025/06/09","20500","400","1.99","20450","20800","20350","4009445","82480882775","15223125770500","742591501"
"2025/06/05","20100","-200","-0.99","20500","20800","20000","6099578","120917882825","14926089170100","742591501"
"2025/06/04","20300","1410","7.46","19830","20350","19350","4745709","95020728870","15074607470300","742591501"
"2025/06/02","18890","-380","-1.97","19130","19460","18640","2937964","55696492830","14027553453890","742591501"
"2025/05/30","19270","20","0.10","19450","19700","19170","6892555","133026632627","14309738224270","742591501"
"2025/05/29","19250","910","4.96","18510","19270","18460","2559117","48614510820","14294886394250","742591501"
"2025/05/28","18340","50","0.27","18200","18530","18190","2121395","39044325160","13619128128340","742591501"
"2025/05/27","18290","-10","-0.05","18150","18310","18150","1134206","20676356075","13581998553290","742591501"
"2025/05/26","18300","230","1.27","18050","18300","17970","1853678","33713104225","13589424468300","742591501"
"2025/05/23","18070","90","0.50","17910","18120","17910","1231441","22225784910","13418628423070","742591501"
"2025/05/22","17980","-10","-0.06","17930","18070","17860","1532740","27527611115","13351795187980","742591501"
"2025/05/21","17990","-10","-0.06","17960","18100","17950","1077895","19407591475","13359221102990","742591501"
"2025/05/20","18000","160","0.90","17950","18090","17900","1095956","19724773385","13366647018000","742591501"
"2025/05/19","17840","-200","-1.11","17950","18110","17830","947128","16983788675","13247832377840","742591501"
"2025/05/16","18040","-20","-0.11","18090","18120","17970","766082","13823441730","13396350678040","742591501"
"2025/05/15","18060","100","0.56","17850","18150","17820","1238680","22378350755","13411202508060","742591501"
"2025/05/14","17960","110","0.62","17860","18140","17850","1933239","34824467675","13336943357960","742591501"
"2025/05/13","17850","0","0.00","17670","17850","17580","2332070","41529189290","13255258292850","742591501"
"2025/05/12","17850","160","0.90","17580","17900","17580","1095799","19495678100","13255258292850","742591501"
"2025/05/09","17690","70","0.40","17500","17730","17420","1035953","18228208370","13136443652690","742591501"
"2025/05/08","17620","-210","-1.18","17680","17780","17620","2169995","38352043685","13084462247620","742591501"
