일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2025/07/11","11930","1560","15.04","11060","12070","10590","23079867","263601271100","1002120000000","84000000"
"2025/07/10","10370","390","3.91","10970","11570","10220","16747512","182992896565","871080000000","84000000"
"2025/07/09","9980","310","3.21","9980","10080","9610","3409913","33597376355","838320000000","84000000"
"2025/07/08","9670","240","2.55","9460","9760","9170","2371205","22639124865","812280000000","84000000"
"2025/07/07","9430","-180","-1.87","9900","10020","9410","3431778","33187747935","792120000000","84000000"
"2025/07/04","9610","390","4.23","9230","9770","9170","5213214","49827603860","807240000000","84000000"
"2025/07/03","9220","30","0.33","9320","9320","9050","1281530","11754034105","774480000000","84000000"
"2025/07/02","9190","90","0.99","9390","9420","8840","2816997","25622009950","771960000000","84000000"
"2025/07/01","9100","310","3.53","8750","9340","8550","4235014","38291508240","764400000000","84000000"
"2025/06/30","8790","20","0.23","8700","8880","8400","1402892","12150407235","738360000000","84000000"
"2025/06/27","8770","-120","-1.35","9130","9130","8750","1386619","12299015925","736680000000","84000000"
"2025/06/26","8890","-110","-1.22","8980","9030","8220","3476661","30033941760","746760000000","84000000"
"2025/06/25","9000","330","3.81","8930","9190","8530","3284894","29116162630","756000000000","84000000"
"2025/06/24","8670","330","3.96","8690","8820","8400","1839435","15797206015","728280000000","84000000"
"2025/06/23","8340","-230","-2.68","8280","8560","8090","1401174","11680442755","700560000000","84000000"
"2025/06/20","8570","-90","-1.04","8600","8800","8360","2145082","18280025805","719880000000","84000000"
"2025/06/19","8660","-10","-0.12","9220","9250","8520","2816478","24848946440","727440000000","84000000"
"2025/06/18","8670","-120","-1.37","8880","8920","8500","1797355","15539040190","728280000000","84000000"
"2025/06/17","8790","-890","-9.19","10110","10150","8510","4977871","45826351510","738360000000","84000000"
"2025/06/16","9680","-50","-0.51","9820","9950","9370","2765763","26531839370","813120000000","84000000"
"2025/06/13","9730","-440","-4.33","10050","10170","9510","3362339","32776099785","817320000000","84000000"
"2025/06/12","10170","-50","-0.49","10140","10590","9990","5177533","53340001995","854280000000","84000000"
"2025/06/11","10220","770","8.15","9420","10450","9170","13654673","136848513185","858480000000","84000000"
"2025/06/10","9450","1580","20.08","8240","9510","7730","14288920","127200988755","793800000000","84000000"
"2025/06/09","7870","560","7.66","7550","7990","7520","2151841","16866130535","661080000000","84000000"
"2025/06/05","7310","150","2.09","7130","7400","7040","637254","4621733360","614040000000","84000000"
"2025/06/04","7160","290","4.22","6950","7160","6950","475614","3377662695","601440000000","84000000"
"2025/06/02","6870","-20","-0.29","6900","7010","6850","262436","1816826970","577080000000","84000000"
"2025/05/30","6890","-210","-2.96","7010","7010","6860","361001","2493860955","578760000000","84000000"
"2025/05/29","7100","60","0.85","7030","7140","6960","366443","2585793145","596400000000","84000000"
"2025/05/28","7040","50","0.72","7030","7120","6960","382890","2700095950","591360000000","84000000"
"2025/05/27","6990","-110","-1.55","7150","7190","6870","576701","4027437590","587160000000","84000000"
"2025/05/26","7100","-310","-4.18","7310","7350","7090","639032","4592658380","596400000000","84000000"
"2025/05/23","7410","-240","-3.14","7710","7750","7370","713814","5385360545","622440000000","84000000"
"2025/05/22","7650","270","3.66","7820","7840","7530","2065204","15850868700","642600000000","84000000"
"2025/05/21","7380","310","4.38","7110","7410","7090","838554","6106288670","619920000000","84000000"
"2025/05/20","7070","130","1.87","7010","7150","6970","319982","2261894230","593880000000","84000000"
"2025/05/19","6940","-250","-3.48","7350","7410","6930","671671","4791047490","582960000000","84000000"
"2025/05/16","7190","40","0.56","7150","7320","7080","426077","3063547295","603960000000","84000000"
"2025/05/15","7150","-180","-2.46","7290","7380","7120","430864","3117607845","600600000000","84000000"
"2025/05/14","7330","80","1.10","7360","7420","7290","413751","3038248210","615720000000","84000000"
"2025/05/13","7250","-80","-1.09","7330","7350","7180","474659","3438421970","609000000000","84000000"
"2025/05/12","7330","130","1.81","7290","7420","7210","693591","5080496720","615720000000","84000000"
"2025/05/09","7200","290","4.20","7550","7550","7100","1776013","12931746155","604800000000","84000000"
"2025/05/08","6910","80","1.17","6840","6950","6810","417316","2871384215","580440000000","84000000"
"2025/05/07","6830","-90","-1.30","6960","6980","6750","574022","3917289755","573720000000","84000000"
"2025/05/02","6920","290","4.37","6690","7090","6670","1376495","9529729780","581280000000","84000000"
"2025/04/30","6630","-20","-0.30","6630","6700","6580","252316","1674584010","556920000000","84000000"
"2025/04/29","6650","50","0.76","6640","6710","6600","268388","1786697200","558600000000","84000000"
"2025/04/28","6600","0","0.00","6590","6650","6540","281163","1853592605","554400000000","84000000"
"2025/04/25","6600","60","0.92","6600","6670","6580","300433","1988717980","554400000000","84000000"
"2025/04/24","6540","-120","-1.80","6660","6670","6500","260015","1704917705","549360000000","84000000"
"2025/04/23","6660","250","3.90","6690","6740","6530","769686","5114560550","559440000000","84000000"
"2025/04/22","6410","-80","-1.23","6530","6550","6380","283800","1832378415","538440000000","84000000"
"2025/04/21","6490","100","1.56","6430","6520","6390","385015","2489720770","545160000000","84000000"
