일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2025/07/11","5600","-100","-1.75","5680","5730","5450","2260238","12608823140","413873986400","73906069"
"2025/07/10","5700","930","19.50","4980","6090","4885","16145266","92919916760","421264593300","73906069"
"2025/07/09","4770","160","3.47","4795","4935","4685","641035","3087879212","352531949130","73906069"
"2025/07/08","4610","70","1.54","4550","4680","4545","238951","1105533968","340706978090","73906069"
"2025/07/07","4540","-225","-4.72","4745","4755","4535","413666","1896928218","335533553260","73906069"
"2025/07/04","4765","-140","-2.85","5000","5000","4720","387140","1865997177","352162418785","73906069"
"2025/07/03","4905","220","4.70","4685","4955","4675","622101","3016804354","362509268445","73906069"
"2025/07/02","4685","30","0.64","4630","4700","4455","567604","2594904728","346249933265","73906069"
"2025/07/01","4655","-20","-0.43","4630","4700","4625","359706","1674970487","344032751195","73906069"
"2025/06/30","4675","-180","-3.71","4860","4890","4590","490553","2298777896","345510872575","73906069"
"2025/06/27","4855","-95","-1.92","5000","5050","4850","397654","1951604436","358813964995","73906069"
"2025/06/26","4950","-150","-2.94","5080","5090","4870","558243","2750162409","365835041550","73906069"
"2025/06/25","5100","175","3.55","4965","5190","4965","1015490","5182677590","376920951900","73906069"
"2025/06/24","4925","60","1.23","4940","5100","4900","721286","3595684580","363987389825","73906069"
"2025/06/23","4865","-235","-4.61","4920","4950","4840","553849","2708250854","359553025685","73906069"
"2025/06/20","5100","110","2.20","4915","5310","4835","1949901","9958318917","376920951900","73906069"
"2025/06/19","4990","-300","-5.67","5230","5260","4970","980158","4968542182","364291501910","73004309"
"2025/06/18","5290","-120","-2.22","5320","5510","5270","646145","3455151920","386192794610","73004309"
"2025/06/17","5410","120","2.27","5340","5620","5280","823418","4462192495","394953311690","73004309"
"2025/06/16","5290","-230","-4.17","5380","5460","5240","728795","3869878930","386192794610","73004309"
"2025/06/13","5520","-290","-4.99","5850","5870","5400","1011399","5637673070","402983785680","73004309"
"2025/06/12","5810","-140","-2.35","5950","5990","5800","1040581","6115522045","424155035290","73004309"
"2025/06/11","5950","40","0.68","5900","6010","5680","1138052","6655386045","434375638550","73004309"
"2025/06/10","5910","200","3.50","5760","5960","5750","1516032","8878661860","431455466190","73004309"
"2025/06/09","5710","-190","-3.22","5930","6020","5620","1359500","7841089910","416854604390","73004309"
"2025/06/05","5900","-200","-3.28","6010","6110","5870","1724322","10303669580","430725423100","73004309"
"2025/06/04","6100","-280","-4.39","6470","6490","6060","1863133","11570192270","445326284900","73004309"
"2025/06/02","6380","-130","-2.00","6320","6720","6100","3256571","21023012495","465767491420","73004309"
"2025/05/30","6510","-270","-3.98","7000","7140","6480","5990964","40884585950","475258051590","73004309"
"2025/05/29","6780","180","2.73","6600","6900","6450","8605028","57899135830","494969215020","73004309"
"2025/05/28","6600","80","1.23","7050","7080","6460","7425303","50498553240","481828439400","73004309"
"2025/05/27","6520","420","6.89","6360","6990","6330","22125937","147643673265","475988094680","73004309"
"2025/05/26","6100","220","3.74","6070","6450","5920","6812829","42058330330","445326284900","73004309"
"2025/05/23","5880","-740","-11.18","6510","6550","5840","4674476","28897091760","429265336920","73004309"
"2025/05/22","6620","-510","-7.15","6980","7060","6520","6702778","45760301950","483288525580","73004309"
"2025/05/21","7130","250","3.63","7200","7460","6760","16775760","117998829015","520520723170","73004309"
"2025/05/20","6880","-620","-8.27","7150","7430","6330","22466796","154140324930","502269645920","73004309"
"2025/05/19","7500","3900","108.33","5600","8300","5500","199182296","1405490426335","547532317500","73004309"
