일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2025/07/11","6250","360","6.11","5980","6710","5890","8652017","55525521535","187500000000","30000000"
"2025/07/10","5890","-110","-1.83","6030","6220","5780","1986424","11964469405","176700000000","30000000"
"2025/07/09","6000","-260","-4.15","6350","6380","5990","1277754","7818779575","180000000000","30000000"
"2025/07/08","6260","100","1.62","6150","6730","6090","5285903","33987946345","187800000000","30000000"
"2025/07/07","6160","70","1.15","6000","6590","5960","7085775","45060288030","184800000000","30000000"
"2025/07/04","6090","-160","-2.56","6120","6500","5800","9565495","58897210985","182700000000","30000000"
"2025/07/03","6250","770","14.05","5420","6810","5260","24557795","153771672365","187500000000","30000000"
"2025/07/02","5480","290","5.59","5300","6250","5150","22437787","130534581780","164400000000","30000000"
"2025/07/01","5190","-110","-2.08","5320","5570","5170","2930173","15748273420","155700000000","30000000"
"2025/06/30","5300","-250","-4.50","5520","5600","5140","2251568","11985654770","159000000000","30000000"
"2025/06/27","5550","710","14.67","4795","5960","4645","22036166","122456071451","166500000000","30000000"
"2025/06/26","4840","-210","-4.16","5100","5560","4775","7165739","36988144934","145200000000","30000000"
"2025/06/25","5050","860","20.53","4200","5440","4200","19054538","98439992576","151500000000","30000000"
"2025/06/24","4190","40","0.96","4125","4240","4115","243597","1018052035","125700000000","30000000"
"2025/06/23","4150","25","0.61","4200","4270","4135","305422","1278741641","124500000000","30000000"
"2025/06/20","4125","0","0.00","4145","4145","4065","60868","249104890","123750000000","30000000"
"2025/06/19","4125","-35","-0.84","4160","4170","4085","52639","216677923","123750000000","30000000"
"2025/06/18","4160","60","1.46","4075","4180","4050","146754","605095643","124800000000","30000000"
"2025/06/17","4100","-20","-0.49","4085","4145","4045","151899","620419295","123000000000","30000000"
"2025/06/16","4120","-20","-0.48","4175","4175","4020","134091","549154150","123600000000","30000000"
"2025/06/13","4140","25","0.61","4155","4300","4090","602081","2531294676","124200000000","30000000"
"2025/06/12","4115","-45","-1.08","4150","4200","4110","68532","285013662","123450000000","30000000"
"2025/06/11","4160","10","0.24","4200","4200","4120","78529","326417795","124800000000","30000000"
"2025/06/10","4150","-25","-0.60","4180","4235","4100","107549","448071217","124500000000","30000000"
"2025/06/09","4175","130","3.21","4075","4185","4075","153209","636926895","125250000000","30000000"
"2025/06/05","4045","-35","-0.86","4100","4100","4005","63940","257807826","121350000000","30000000"
"2025/06/04","4080","70","1.75","4035","4100","3990","74463","302657780","122400000000","30000000"
"2025/06/02","4010","35","0.88","4000","4050","3965","104473","418836860","120300000000","30000000"
"2025/05/30","3975","-15","-0.38","4010","4025","3960","41560","166233361","119250000000","30000000"
"2025/05/29","3990","70","1.79","3925","3995","3900","65118","257556728","119700000000","30000000"
"2025/05/28","3920","65","1.69","3850","3935","3830","43773","170680098","117600000000","30000000"
"2025/05/27","3855","-55","-1.41","3910","3975","3850","66660","258880265","115650000000","30000000"
"2025/05/26","3910","-45","-1.14","3890","3970","3815","35995","141052885","117300000000","30000000"
"2025/05/23","3955","-15","-0.38","3990","3990","3905","35322","139111475","118650000000","30000000"
"2025/05/22","3970","-80","-1.98","4010","4180","3970","82523","331548170","119100000000","30000000"
"2025/05/21","4050","135","3.45","3920","4050","3920","81485","325306172","121500000000","30000000"
"2025/05/20","3915","5","0.13","3910","3950","3890","46071","180474892","117450000000","30000000"
"2025/05/19","3910","-10","-0.26","3905","3990","3860","56963","223667417","117300000000","30000000"
"2025/05/16","3920","-70","-1.75","3990","3990","3905","70946","278282432","117600000000","30000000"
"2025/05/15","3990","-15","-0.37","4005","4030","3950","86379","344689242","119700000000","30000000"
"2025/05/14","4005","60","1.52","3965","4250","3965","1012084","4185306462","120150000000","30000000"
"2025/05/13","3945","20","0.51","3925","3960","3910","34728","136626000","118350000000","30000000"
"2025/05/12","3925","55","1.42","3890","3935","3870","77986","304561740","117750000000","30000000"
"2025/05/09","3870","0","0.00","3840","3870","3825","57496","221263743","116100000000","30000000"
"2025/05/08","3870","-5","-0.13","3855","3910","3835","49162","189501065","116100000000","30000000"
"2025/05/07","3875","50","1.31","3830","3890","3780","31788","122067675","116250000000","30000000"
"2025/05/02","3825","0","0.00","3825","3860","3750","50024","190506383","114750000000","30000000"
"2025/04/30","3825","-110","-2.80","3900","3925","3820","71324","275076410","114750000000","30000000"
"2025/04/29","3935","25","0.64","3900","3955","3885","57372","225001003","118050000000","30000000"
"2025/04/28","3910","-5","-0.13","3895","3940","3885","62130","242996910","117300000000","30000000"
"2025/04/25","3915","50","1.29","3885","3920","3860","112214","437512779","117450000000","30000000"
"2025/04/24","3865","10","0.26","3860","3900","3825","72617","280271355","115950000000","30000000"
"2025/04/23","3855","0","0.00","3880","3890","3805","34170","131678520","115650000000","30000000"
"2025/04/22","3855","-35","-0.90","3850","3915","3840","64826","250880985","115650000000","30000000"
"2025/04/21","3890","-50","-1.27","3990","4000","3860","113741","445173353","116700000000","30000000"
"2025/04/18","3940","25","0.64","3960","4000","3870","118255","466265802","118200000000","30000000"
"2025/04/17","3915","40","1.03","3895","4000","3860","155567","611091614","117450000000","30000000"
"2025/04/16","3875","-5","-0.13","3905","3930","3865","112485","437176015","116250000000","30000000"
"2025/04/15","3880","130","3.47","3750","4120","3705","858944","3406643648","116400000000","30000000"
"2025/04/14","3750","65","1.76","3685","3750","3675","32631","121035065","112500000000","30000000"
"2025/04/11","3685","-55","-1.47","3700","3760","3545","54924","202436795","110550000000","30000000"
"2025/04/10","3740","210","5.95","3580","3770","3580","95305","347737425","112200000000","30000000"
"2025/04/09","3530","25","0.71","3495","3640","3445","72065","253131450","105900000000","30000000"
"2025/04/08","3505","-40","-1.13","3575","3670","3500","57440","205225179","105150000000","30000000"
"2025/04/07","3545","-200","-5.34","3675","3740","3500","78185","278491870","106350000000","30000000"
"2025/04/04","3745","180","5.05","3505","3765","3495","67005","243364490","112350000000","30000000"
"2025/04/03","3565","-110","-2.99","3625","3765","3555","43006","155273185","106950000000","30000000"
"2025/04/02","3675","0","0.00","3675","3705","3620","16894","61727555","110250000000","30000000"
"2025/04/01","3675","165","4.70","3515","3700","3515","42607","154107009","110250000000","30000000"
"2025/03/31","3510","-140","-3.84","3645","3650","3495","100145","354107087","105300000000","30000000"
"2025/03/28","3650","-65","-1.75","3715","3730","3645","54705","200232233","109500000000","30000000"
"2025/03/27","3715","-5","-0.13","3720","3755","3705","36091","134455590","111450000000","30000000"
"2025/03/26","3720","0","0.00","3740","3760","3700","26863","100045060","111600000000","30000000"
"2025/03/25","3720","-70","-1.85","3770","3835","3710","46846","175840965","111600000000","30000000"
"2025/03/24","3790","60","1.61","3750","3880","3720","85613","325964035","113700000000","30000000"
"2025/03/21","3730","5","0.13","3715","3745","3645","106985","395639799","111900000000","30000000"
"2025/03/20","3725","-25","-0.67","3750","3770","3715","32581","121908455","111750000000","30000000"
"2025/03/19","3750","-15","-0.40","3765","3780","3740","38841","145780610","112500000000","30000000"
"2025/03/18","3765","-30","-0.79","3770","3835","3765","46428","175646877","112950000000","30000000"
"2025/03/17","3795","15","0.40","3800","3820","3780","33145","125754826","113850000000","30000000"
"2025/03/14","3780","0","0.00","3775","3855","3765","43576","165265845","113400000000","30000000"
"2025/03/13","3780","-50","-1.31","3830","3860","3765","51364","195353776","113400000000","30000000"
"2025/03/12","3830","-20","-0.52","3870","3890","3820","39114","150432579","114900000000","30000000"
"2025/03/11","3850","-70","-1.79","3840","3895","3820","62716","241328180","115500000000","30000000"
"2025/03/10","3920","-10","-0.25","3930","3950","3885","39742","155618540","117600000000","30000000"
"2025/03/07","3930","-30","-0.76","3900","3980","3890","31677","124773445","117900000000","30000000"
"2025/03/06","3960","-5","-0.13","3970","4015","3920","31081","122923479","118800000000","30000000"
"2025/03/05","3965","165","4.34","3780","4050","3780","176440","704948531","118950000000","30000000"
"2025/03/04","3800","-45","-1.17","3845","3865","3780","33084","126525145","114000000000","30000000"
"2025/02/28","3845","-95","-2.41","3915","3915","3815","95717","368571945","115350000000","30000000"
"2025/02/27","3940","-35","-0.88","3975","4010","3925","44829","177474785","118200000000","30000000"
"2025/02/26","3975","-50","-1.24","4080","4085","3940","125301","499815655","119250000000","30000000"
"2025/02/25","4025","60","1.51","3955","4065","3925","227365","916188110","120750000000","30000000"
"2025/02/24","3965","70","1.80","3895","4000","3885","127982","506805000","118950000000","30000000"
"2025/02/21","3895","65","1.70","3835","3915","3830","73879","286847315","116850000000","30000000"
"2025/02/20","3830","0","0.00","3830","3870","3810","64201","246901940","114900000000","30000000"
"2025/02/19","3830","0","0.00","3820","3830","3790","50396","192195145","114900000000","30000000"
"2025/02/18","3830","15","0.39","3815","3835","3785","39171","148993010","114900000000","30000000"
"2025/02/17","3815","20","0.53","3815","3835","3790","20954","80013965","114450000000","30000000"
"2025/02/14","3795","-5","-0.13","3820","3840","3795","32191","122808470","113850000000","30000000"
"2025/02/13","3800","0","0.00","3820","3840","3775","39504","150210535","114000000000","30000000"
"2025/02/12","3800","-40","-1.04","3855","3880","3775","36766","140137815","114000000000","30000000"
"2025/02/11","3840","0","0.00","3850","3855","3810","62478","239371500","115200000000","30000000"
"2025/02/10","3840","55","1.45","3765","3850","3735","41297","156799115","115200000000","30000000"
"2025/02/07","3785","-5","-0.13","3795","3815","3725","36500","137222715","113550000000","30000000"
"2025/02/06","3790","-30","-0.79","3820","3855","3775","39994","152019130","113700000000","30000000"
"2025/02/05","3820","45","1.19","3760","3845","3760","45294","172462040","114600000000","30000000"
"2025/02/04","3775","85","2.30","3690","3805","3690","20319","76547865","113250000000","30000000"
"2025/02/03","3690","-100","-2.64","3750","3780","3660","69042","254863160","110700000000","30000000"
"2025/01/31","3790","-80","-2.07","3870","3890","3770","67707","257824360","113700000000","30000000"
"2025/01/24","3870","0","0.00","3870","3900","3845","34528","133442055","116100000000","30000000"
"2025/01/23","3870","-115","-2.89","3985","3985","3860","77045","299956295","116100000000","30000000"
"2025/01/22","3985","-80","-1.97","4065","4105","3950","110936","441806490","119550000000","30000000"
"2025/01/21","4065","40","0.99","4030","4095","3990","109549","441311145","121950000000","30000000"
"2025/01/20","4025","45","1.13","4040","4130","4000","207274","843726135","120750000000","30000000"
"2025/01/17","3980","25","0.63","4095","4100","3980","154140","621976700","119400000000","30000000"
"2025/01/16","3955","5","0.13","3990","4010","3925","66056","264236980","118650000000","30000000"
"2025/01/15","3950","0","0.00","4020","4020","3950","44754","178425170","118500000000","30000000"
"2025/01/14","3950","15","0.38","3915","4000","3915","41520","164565860","118500000000","30000000"
"2025/01/13","3935","-65","-1.63","4050","4070","3925","64649","256499690","118050000000","30000000"
"2025/01/10","4000","-10","-0.25","4050","4075","3820","72835","291994505","120000000000","30000000"
"2025/01/09","4010","-10","-0.25","4020","4140","3960","112781","456533705","120300000000","30000000"
"2025/01/08","4020","60","1.52","3955","4050","3930","56228","224935260","120600000000","30000000"
"2025/01/07","3960","-5","-0.13","3970","3985","3940","46809","185596830","118800000000","30000000"
"2025/01/06","3965","35","0.89","3940","3980","3905","38984","153616900","118950000000","30000000"
"2025/01/03","3930","50","1.29","3880","3970","3875","42648","167744495","117900000000","30000000"
"2025/01/02","3880","-35","-0.89","3880","3910","3850","36115","139920525","116400000000","30000000"
"2024/12/30","3915","75","1.95","3825","3925","3820","31874","123835025","117450000000","30000000"
"2024/12/27","3840","-95","-2.41","3900","3935","3840","46707","180516375","115200000000","30000000"
"2024/12/26","3935","-75","-1.87","4050","4050","3920","70081","277097615","118050000000","30000000"
"2024/12/24","4010","30","0.75","3960","4050","3955","50134","200995275","120300000000","30000000"
"2024/12/23","3980","85","2.18","3860","3980","3860","39177","154229940","119400000000","30000000"
"2024/12/20","3895","-95","-2.38","3990","4010","3860","88296","344448550","116850000000","30000000"
"2024/12/19","3990","-50","-1.24","3960","4015","3895","54494","215637570","119700000000","30000000"
"2024/12/18","4040","15","0.37","3985","4070","3985","74719","301312915","121200000000","30000000"
"2024/12/17","4025","0","0.00","4040","4050","3960","42239","169092975","120750000000","30000000"
"2024/12/16","4025","55","1.39","3990","4045","3905","99096","397417925","120750000000","30000000"
"2024/12/13","3970","40","1.02","3905","3975","3880","58496","230597045","119100000000","30000000"
"2024/12/12","3930","0","0.00","3940","3960","3865","66982","261985565","117900000000","30000000"
"2024/12/11","3930","85","2.21","3805","3950","3800","75281","295432560","117900000000","30000000"
"2024/12/10","3845","315","8.92","3540","3890","3540","157409","592036550","115350000000","30000000"
"2024/12/09","3530","-265","-6.98","3695","3705","3530","225449","810167765","105900000000","30000000"
"2024/12/06","3795","-40","-1.04","3870","3895","3695","128796","489390750","113850000000","30000000"
"2024/12/05","3835","-155","-3.88","4000","4050","3835","130237","507690535","115050000000","30000000"
"2024/12/04","3990","-90","-2.21","3985","4080","3935","105763","421032220","119700000000","30000000"
"2024/12/03","4080","85","2.13","3995","4105","3995","81783","332044030","122400000000","30000000"
"2024/12/02","3995","-100","-2.44","4075","4185","3990","165381","667060200","119850000000","30000000"
"2024/11/29","4095","-170","-3.99","4250","4265","4050","74289","308982965","122850000000","30000000"
"2024/11/28","4265","40","0.95","4225","4320","4200","83921","358940310","127950000000","30000000"
"2024/11/27","4225","-40","-0.94","4280","4345","4205","72047","306191895","126750000000","30000000"
"2024/11/26","4265","45","1.07","4230","4265","4150","66506","281074170","127950000000","30000000"
"2024/11/25","4220","55","1.32","4150","4285","4150","69902","295622870","126600000000","30000000"
"2024/11/22","4165","-15","-0.36","4180","4280","4135","78221","326541645","124950000000","30000000"
"2024/11/21","4180","0","0.00","4180","4220","4105","100858","421152655","125400000000","30000000"
"2024/11/20","4180","-25","-0.59","4240","4245","4160","114081","477454480","125400000000","30000000"
"2024/11/19","4205","0","0.00","4235","4330","4175","104707","443638230","126150000000","30000000"
"2024/11/18","4205","35","0.84","4155","4275","4150","99985","419871710","126150000000","30000000"
"2024/11/15","4170","110","2.71","4060","4240","4030","155398","642571880","125100000000","30000000"
"2024/11/14","4060","70","1.75","3990","4135","3990","149568","609197365","121800000000","30000000"
"2024/11/13","3990","-110","-2.68","4050","4130","3990","162617","657539805","119700000000","30000000"
"2024/11/12","4100","-95","-2.26","4190","4245","4010","195072","803793555","123000000000","30000000"
"2024/11/11","4195","-165","-3.78","4330","4450","4190","205073","868197850","125850000000","30000000"
"2024/11/08","4360","70","1.63","4300","4480","4300","180687","796578455","130800000000","30000000"
"2024/11/07","4290","-40","-0.92","4325","4400","4255","152493","659637150","128700000000","30000000"
"2024/11/06","4330","-185","-4.10","4800","4940","4315","790412","3623152170","129900000000","30000000"
"2024/11/05","4515","5","0.11","4455","4575","4455","51559","232954695","135450000000","30000000"
"2024/11/04","4510","95","2.15","4405","4520","4400","69169","309883415","135300000000","30000000"
"2024/11/01","4415","-105","-2.32","4480","4510","4390","72584","320705590","132450000000","30000000"
"2024/10/31","4520","105","2.38","4400","4535","4360","82539","366934990","135600000000","30000000"
"2024/10/30","4415","-125","-2.75","4575","4575","4415","87881","393005520","132450000000","30000000"
"2024/10/29","4540","0","0.00","4510","4580","4460","77420","348831670","136200000000","30000000"
"2024/10/28","4540","130","2.95","4410","4555","4410","75552","341199870","136200000000","30000000"
"2024/10/25","4410","-75","-1.67","4470","4515","4390","112645","498849750","132300000000","30000000"
"2024/10/24","4485","-20","-0.44","4480","4580","4445","95128","428521075","134550000000","30000000"
"2024/10/23","4505","-40","-0.88","4530","4565","4455","109663","494354860","135150000000","30000000"
"2024/10/22","4545","-55","-1.20","4555","4630","4475","186869","847973170","136350000000","30000000"
"2024/10/21","4600","-25","-0.54","4625","4690","4580","70744","328033025","138000000000","30000000"
"2024/10/18","4625","-85","-1.80","4700","4730","4520","148969","691772330","138750000000","30000000"
"2024/10/17","4710","-70","-1.46","4785","4800","4710","120215","569543670","141300000000","30000000"
"2024/10/16","4780","35","0.74","4725","4890","4705","164870","787649495","143400000000","30000000"
"2024/10/15","4745","-55","-1.15","4800","4835","4720","178649","851211620","142350000000","30000000"
"2024/10/14","4800","-45","-0.93","4855","4975","4740","253907","1224414530","144000000000","30000000"
"2024/10/11","4845","-175","-3.49","4980","5030","4805","275293","1351846720","145350000000","30000000"
"2024/10/10","5020","245","5.13","4785","5070","4785","635312","3156158335","150600000000","30000000"
"2024/10/08","4775","-215","-4.31","5050","5070","4740","523263","2537587525","143250000000","30000000"
"2024/10/07","4990","365","7.89","4665","5390","4640","2443000","12337172245","149700000000","30000000"
"2024/10/04","4625","-435","-8.60","4920","4955","4625","1123518","5330627785","138750000000","30000000"
"2024/10/02","5060","-410","-7.50","5510","5650","5060","1869266","9925594710","151800000000","30000000"
"2024/09/30","5470","110","2.05","5480","5510","5270","1391374","7529033300","164100000000","30000000"
"2024/09/27","5360","180","3.47","5170","5450","5140","1334407","7105833610","160800000000","30000000"
"2024/09/26","5180","120","2.37","5090","5200","5030","649087","3319925750","155400000000","30000000"
"2024/09/25","5060","20","0.40","5070","5160","5030","478331","2426985990","151800000000","30000000"
"2024/09/24","5040","-120","-2.33","5100","5130","4995","539241","2712908180","151200000000","30000000"
"2024/09/23","5160","120","2.38","5260","5260","4980","1064791","5414792385","154800000000","30000000"
"2024/09/20","5040","-90","-1.75","5140","5200","4980","899738","4589084645","151200000000","30000000"
"2024/09/19","5130","80","1.58","5130","5150","4960","542718","2747085535","153900000000","30000000"
"2024/09/13","5050","-130","-2.51","5170","5190","5040","489261","2491769050","151500000000","30000000"
"2024/09/12","5180","205","4.12","4985","5290","4985","1158757","5973496945","155400000000","30000000"
"2024/09/11","4975","-315","-5.95","5190","5320","4940","1967029","9954359635","149250000000","30000000"
"2024/09/10","5290","-200","-3.64","5980","6150","5290","6531579","37729563850","158700000000","30000000"
"2024/09/09","5490","-90","-1.61","5400","5540","5230","2863473","15914161720","164700000000","30000000"
"2024/09/06","5580","-220","-3.79","5760","6410","5500","9709859","58594656300","167400000000","30000000"
"2024/09/05","5800","810","16.23","5040","6250","4875","25563660","148675575590","174000000000","30000000"
"2024/09/04","4990","0","0.00","4810","5440","4660","4486004","23129573100","149700000000","30000000"
"2024/09/03","4990","465","10.28","4505","5290","4440","10576624","53402893820","149700000000","30000000"
"2024/09/02","4525","120","2.72","4405","4530","4385","431679","1935010195","135750000000","30000000"
"2024/08/30","4405","55","1.26","4360","4460","4335","302900","1330093700","132150000000","30000000"
"2024/08/29","4350","-130","-2.90","4430","4430","4310","377778","1648160305","130500000000","30000000"
"2024/08/28","4480","-80","-1.75","4600","4605","4410","446031","1992060320","134400000000","30000000"
"2024/08/27","4560","-100","-2.15","4630","4635","4470","391678","1781447410","136800000000","30000000"
"2024/08/26","4660","-130","-2.71","4820","4870","4610","567881","2679284710","139800000000","30000000"
"2024/08/23","4790","-185","-3.72","4945","4950","4700","711271","3419282635","143700000000","30000000"
"2024/08/22","4975","-25","-0.50","5000","5030","4845","794071","3932496140","149250000000","30000000"
"2024/08/21","5000","-90","-1.77","5080","5090","4905","514834","2560751555","150000000000","30000000"
"2024/08/20","5090","10","0.20","5120","5190","5030","661262","3383237830","152700000000","30000000"
"2024/08/19","5080","-330","-6.10","5360","5380","4990","1104536","5654665215","152400000000","30000000"
"2024/08/16","5410","-60","-1.10","5480","5560","5400","696190","3809270200","162300000000","30000000"
"2024/08/14","5470","10","0.18","5480","5670","5340","920140","5035178840","164100000000","30000000"
"2024/08/13","5460","-250","-4.38","5690","5950","5400","1534556","8635127470","163800000000","30000000"
"2024/08/12","5710","-400","-6.55","5960","6000","5600","1599519","9135832040","171300000000","30000000"
"2024/08/09","6110","20","0.33","6060","6380","6020","2155585","13275711510","183300000000","30000000"
"2024/08/08","6090","-370","-5.73","6320","6540","6020","4403570","27686706790","182700000000","30000000"
"2024/08/07","6460","1160","21.89","5230","6550","5230","17337880","107952135590","193800000000","30000000"
"2024/08/06","5300","240","4.74","5120","5430","4920","2817547","14829570750","159000000000","30000000"
"2024/08/05","5060","-890","-14.96","5910","6000","4795","2452590","13313682860","151800000000","30000000"
"2024/08/02","5950","-350","-5.56","6240","6430","5830","4678814","28899789890","178500000000","30000000"
"2024/08/01","6300","540","9.38","5720","7030","5610","27130489","177552064810","189000000000","30000000"
"2024/07/31","5760","-370","-6.04","6070","6300","5690","4556155","27012451090","172800000000","30000000"
"2024/07/30","6130","580","10.45","6000","6950","5860","29116053","190149791060","183900000000","30000000"
"2024/07/29","5550","220","4.13","5960","6180","5450","13947754","81380408200","166500000000","30000000"
"2024/07/26","5330","1230","30.00","4040","5330","4035","8967413","45218684155","159900000000","30000000"
"2024/07/25","4100","-210","-4.87","4285","4695","4060","864253","3761903520","123000000000","30000000"
"2024/07/24","4310","300","7.48","3955","4310","3955","165515","699627020","129300000000","30000000"
"2024/07/23","4010","-5","-0.12","4060","4090","3990","23464","94287755","120300000000","30000000"
"2024/07/22","4015","-45","-1.11","4010","4050","3960","35085","140265320","120450000000","30000000"
"2024/07/19","4060","-70","-1.69","4175","4175","4025","51833","210768835","121800000000","30000000"
"2024/07/18","4130","-45","-1.08","4135","4180","4100","46671","192940810","123900000000","30000000"
"2024/07/17","4175","-10","-0.24","4150","4250","4145","45528","190287680","125250000000","30000000"
"2024/07/16","4185","-30","-0.71","4215","4280","4145","42148","176530650","125550000000","30000000"
"2024/07/15","4215","-75","-1.75","4300","4300","4215","37301","158367240","126450000000","30000000"
"2024/07/12","4290","-45","-1.04","4310","4360","4275","41683","179247075","128700000000","30000000"
"2024/07/11","4335","-105","-2.36","4430","4480","4210","26091","113322570","130050000000","30000000"
"2024/07/10","4440","40","0.91","4415","4485","4360","32956","146471115","133200000000","30000000"
"2024/07/09","4400","90","2.09","4290","4400","4290","44685","195214495","132000000000","30000000"
"2024/07/08","4310","0","0.00","4300","4335","4165","43311","185912985","129300000000","30000000"
"2024/07/05","4310","-25","-0.58","4315","4365","4255","69591","299606830","129300000000","30000000"
"2024/07/04","4335","-150","-3.34","4455","4545","4315","88280","387194440","130050000000","30000000"
"2024/07/03","4485","-30","-0.66","4515","4620","4440","105385","475772175","134550000000","30000000"
"2024/07/02","4515","-185","-3.94","4700","4750","4510","117190","536507980","135450000000","30000000"
"2024/07/01","4700","-165","-3.39","4865","4940","4700","148974","712005475","141000000000","30000000"
"2024/06/28","4865","215","4.62","4700","4905","4700","365419","1768091030","145950000000","30000000"
"2024/06/27","4650","-120","-2.52","4750","4825","4640","191992","901433495","139500000000","30000000"
"2024/06/26","4770","-45","-0.93","4860","4880","4705","397380","1890556305","143100000000","30000000"
"2024/06/25","4815","90","1.90","4910","5450","4750","4217272","21545002390","144450000000","30000000"
"2024/06/24","4725","30","0.64","4690","4925","4615","354408","1695375650","141750000000","30000000"
"2024/06/21","4695","35","0.75","4655","4830","4560","236371","1112247050","140850000000","30000000"
"2024/06/20","4660","170","3.79","4565","5280","4500","2581041","12843048115","139800000000","30000000"
"2024/06/19","4490","-140","-3.02","4700","4700","4480","78029","353711025","134700000000","30000000"
"2024/06/18","4630","65","1.42","4570","4680","4560","87035","402714175","138900000000","30000000"
"2024/06/17","4565","-180","-3.79","4780","4780","4540","137752","640378100","136950000000","30000000"
"2024/06/14","4745","155","3.38","4590","4755","4585","178642","840572440","142350000000","30000000"
"2024/06/13","4590","30","0.66","4560","4645","4535","84084","385630430","137700000000","30000000"
"2024/06/12","4560","75","1.67","4445","4585","4445","62342","283074600","136800000000","30000000"
