일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2025/07/11","2330","125","5.67","2215","2470","2200","5784313","13639004490","237199356670","101802299"
"2025/07/10","2205","-25","-1.12","2245","2320","2200","1892665","4239713248","224474069295","101802299"
"2025/07/09","2230","-95","-4.09","2355","2390","2230","2061529","4713543728","227019126770","101802299"
"2025/07/08","2325","-45","-1.90","2365","2420","2310","1458164","3417895295","236690345175","101802299"
"2025/07/07","2370","-110","-4.44","2445","2470","2320","2246126","5393021915","241271448630","101802299"
"2025/07/04","2480","0","0.00","2440","2560","2370","4777817","11675729288","252469701520","101802299"
"2025/07/03","2480","375","17.81","2120","2615","2110","20697824","50529915021","252469701520","101802299"
"2025/07/02","2105","70","3.44","2010","2270","1998","5671605","12157825084","214293839395","101802299"
"2025/07/01","2035","-40","-1.93","2020","2155","1990","2271838","4696621486","207167678465","101802299"
"2025/06/30","2075","-55","-2.58","2100","2145","2070","862357","1807061329","211239770425","101802299"
"2025/06/27","2130","-135","-5.96","2280","2290","2110","1625719","3537643381","216838896870","101802299"
"2025/06/26","2265","-145","-6.02","2355","2420","2260","1358557","3127829819","230582207235","101802299"
"2025/06/25","2410","75","3.21","2805","2850","2405","5502451","14103488825","245343540590","101802299"
"2025/06/24","2335","190","8.86","2165","2365","2165","1495522","3431507991","237708368165","101802299"
"2025/06/23","2145","-130","-5.71","2175","2180","2075","1461888","3112181128","218365931355","101802299"
"2025/06/20","2275","-75","-3.19","2385","2415","2270","2023977","4682955237","231600230225","101802299"
"2025/06/19","2350","20","0.86","2365","2420","2250","1224704","2872483818","239235402650","101802299"
"2025/06/18","2330","30","1.30","2275","2390","2245","1497560","3466048206","237199356670","101802299"
"2025/06/17","2300","-75","-3.16","2365","2460","2250","1798852","4199972486","234145287700","101802299"
"2025/06/16","2375","-140","-5.57","2405","2435","2310","1901941","4493503308","241780460125","101802299"
"2025/06/13","2515","-175","-6.51","2660","2675","2505","1935254","4950013729","256032781985","101802299"
"2025/06/12","2690","-115","-4.10","2815","2880","2680","2049425","5621121186","273848184310","101802299"
"2025/06/11","2805","30","1.08","2815","2925","2790","1116153","3173007698","285555448695","101802299"
"2025/06/10","2775","-235","-7.81","3050","3050","2750","1928611","5520602824","282501379725","101802299"
"2025/06/09","3010","-130","-4.14","3125","3125","3000","842139","2548415690","306424919990","101802299"
"2025/06/05","3140","30","0.96","3100","3240","3020","752071","2376766056","319659218860","101802299"
"2025/06/04","3110","40","1.30","3115","3195","3090","862547","2713381086","316605149890","101802299"
"2025/06/02","3070","-40","-1.29","3185","3200","3055","688320","2138174817","312533057930","101802299"
"2025/05/30","3110","-40","-1.27","3150","3255","3035","1866852","5833819248","316605149890","101802299"
"2025/05/29","3150","-10","-0.32","3175","3240","3100","801837","2539753193","320677241850","101802299"
"2025/05/28","3160","70","2.27","3130","3250","3030","1644967","5134108780","321695264840","101802299"
"2025/05/27","3090","20","0.65","3090","3145","3035","592892","1828294534","314569103910","101802299"
"2025/05/26","3070","15","0.49","2970","3150","2970","773967","2392873777","312533057930","101802299"
"2025/05/23","3055","-155","-4.83","3255","3260","2930","1363329","4138342568","311006023445","101802299"
"2025/05/22","3210","30","0.94","3160","3280","3030","1324775","4167111132","326785379790","101802299"
