일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2025-07-10,18400,400,2.22,17970,18680,17760,1187194,21717775655,1.67864E+12,91230493
2025-07-09,18000,220,1.24,17800,18120,17450,1101329,19582068635,1.64215E+12,91230493
2025-07-08,17780,990,5.9,16570,17810,16560,1961269,33990598235,1.62208E+12,91230493
2025-07-07,16790,770,4.81,16200,16940,16130,1704754,28443695510,1.54085E+12,91771623
2025-07-04,16020,460,2.96,15560,16210,15310,1540664,24259409630,1.47018E+12,91771623
2025-07-03,15560,470,3.11,15380,16330,15250,1943326,30784825865,1.42797E+12,91771623
2025-07-02,15090,430,2.93,14800,15230,14660,434059,6486343070,1.38483E+12,91771623
2025-07-01,14660,-610,-3.99,15310,15330,14590,756330,11262457900,1.34537E+12,91771623
2025-06-30,15270,270,1.8,15000,15370,15000,399964,6097392875,1.40135E+12,91771623
2025-06-27,15000,30,0.2,14930,15020,14600,339001,5030371040,1.37657E+12,91771623
2025-06-26,14970,20,0.13,15080,15080,14550,356744,5271246980,1.37382E+12,91771623
2025-06-25,14950,90,0.61,14890,15040,14730,504436,7524828985,1.37199E+12,91771623
2025-06-24,14860,320,2.2,14650,15000,14330,639303,9406767790,1.36373E+12,91771623
2025-06-23,14540,0,0,14270,14550,14060,525403,7524664655,1.33436E+12,91771623
2025-06-20,14540,-90,-0.62,14590,14590,14260,579539,8371587080,1.33436E+12,91771623
2025-06-19,14630,520,3.69,14420,14680,14320,1475135,21449340840,1.34262E+12,91771623
2025-06-18,14110,460,3.37,13730,14220,13650,895503,12605632905,1.2949E+12,91771623
2025-06-17,13650,-70,-0.51,13830,13940,13430,432638,5897371055,1.25268E+12,91771623
2025-06-16,13720,130,0.96,13600,13860,13500,289590,3973179865,1.25911E+12,91771623
2025-06-13,13590,-410,-2.93,14050,14190,13450,368799,5045415195,1.24718E+12,91771623
2025-06-12,14000,150,1.08,13900,14300,13880,415078,5853380060,1.2848E+12,91771623
2025-06-11,13850,-30,-0.22,14000,14010,13680,246319,3401902720,1.27104E+12,91771623
2025-06-10,13880,-10,-0.07,13850,13930,13620,318347,4375025535,1.27379E+12,91771623
2025-06-09,13890,410,3.04,13640,14040,13600,845671,11732099910,1.27471E+12,91771623
2025-06-05,13480,270,2.04,13110,13570,12980,659915,8741504400,1.23708E+12,91771623
2025-06-04,13210,400,3.12,13020,13430,12970,572714,7596862170,1.2123E+12,91771623
2025-06-02,12810,260,2.07,12550,12990,12410,595984,7642400705,1.17559E+12,91771623
2025-05-30,12550,-90,-0.71,12650,12730,12430,399970,5030000420,1.15173E+12,91771623
2025-05-29,12640,-370,-2.84,13030,13100,12590,745445,9502877225,1.15999E+12,91771623
2025-05-28,13010,-270,-2.03,13340,13490,12970,349612,4611535300,1.19395E+12,91771623
2025-05-27,13280,160,1.22,13150,13380,13130,219080,2898708850,1.21873E+12,91771623
2025-05-26,13120,-110,-0.83,13200,13300,12860,542352,7077486745,1.20404E+12,91771623
2025-05-23,13230,-320,-2.36,13410,13580,13210,396257,5276644275,1.21414E+12,91771623
2025-05-22,13550,100,0.74,13360,13810,13300,391138,5315897995,1.24351E+12,91771623
2025-05-21,13450,-100,-0.74,13540,13700,13320,313066,4227457750,1.23433E+12,91771623
2025-05-20,13550,200,1.5,13400,13550,13070,349672,4675693780,1.24351E+12,91771623
2025-05-19,13350,160,1.21,13080,13520,13060,366912,4891002135,1.22515E+12,91771623
