일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2025/07/11","23000","300","1.32","22700","23300","22550","41343","952357125","183882930000","7994910"
"2025/07/10","22700","350","1.57","22350","22700","22250","24026","538670775","181484457000","7994910"
"2025/07/09","22350","-250","-1.11","22600","22850","22050","27121","605235275","178686238500","7994910"
"2025/07/08","22600","250","1.12","22350","22750","22100","34354","770589300","180684966000","7994910"
"2025/07/07","22350","-1000","-4.28","23350","25200","22100","202278","4733336400","178686238500","7994910"
"2025/07/04","23350","-550","-2.30","23750","23800","23000","31724","742752100","186681148500","7994910"
"2025/07/03","23900","700","3.02","23200","24100","23100","68326","1623509775","191078349000","7994910"
"2025/07/02","23200","-400","-1.69","23700","23750","22400","42242","964929600","185481912000","7994910"
"2025/07/01","23600","-700","-2.88","24300","24300","23500","61267","1454442575","188679876000","7994910"
"2025/06/30","24300","900","3.85","23950","24550","23500","47346","1142455700","194276313000","7994910"
"2025/06/27","23400","-700","-2.90","24700","24800","23200","58193","1393098075","187080894000","7994910"
"2025/06/26","24100","950","4.10","23300","24400","23100","88768","2130236825","192677331000","7994910"
"2025/06/25","23150","-150","-0.64","23900","23900","22950","26097","607044600","185082166500","7994910"
"2025/06/24","23300","1300","5.91","22400","23500","22400","57823","1338184325","186281403000","7994910"
"2025/06/23","22000","-600","-2.65","22550","22550","21400","18178","398106325","175888020000","7994910"
"2025/06/20","22600","300","1.35","22200","22900","21950","22721","507495075","180684966000","7994910"
"2025/06/19","22300","-300","-1.33","23000","23050","22000","27394","608606525","178286493000","7994910"
"2025/06/18","22600","1050","4.87","21550","23050","21250","47417","1064320825","180684966000","7994910"
"2025/06/17","21550","450","2.13","21150","23150","21150","95505","2107571050","172290310500","7994910"
"2025/06/16","21100","-1050","-4.74","21750","22150","21000","74559","1585607325","168692601000","7994910"
"2025/06/13","22150","-1000","-4.32","23650","23650","22050","67745","1526105175","177087256500","7994910"
"2025/06/12","23150","-200","-0.86","23450","24000","23100","25788","605159000","185082166500","7994910"
"2025/06/11","23350","400","1.74","23150","23500","22850","16439","379211450","186681148500","7994910"
"2025/06/10","22950","-750","-3.16","23600","24150","22800","24329","567285400","183483184500","7994910"
"2025/06/09","23700","-300","-1.25","24350","24450","22550","68481","1614739950","189479367000","7994910"
"2025/06/05","24000","550","2.35","23500","24500","23500","49792","1196390050","191877840000","7994910"
"2025/06/04","23450","150","0.64","23450","24350","23300","43505","1028995050","187480639500","7994910"
"2025/06/02","23300","-150","-0.64","23850","24400","22850","67264","1582070200","186281403000","7994910"
"2025/05/30","23450","2150","10.09","21300","26100","21050","488218","11571996100","187480639500","7994910"
"2025/05/29","21300","50","0.24","21350","21500","20800","18626","394672875","170291583000","7994910"
"2025/05/28","21250","2260","11.90","19180","21750","19000","73439","1527594680","169891837500","7994910"
"2025/05/27","18990","-330","-1.71","19690","19690","18850","13536","258284740","151823340900","7994910"
"2025/05/26","19320","1410","7.87","17830","19530","17830","36483","697138670","154461661200","7994910"
"2025/05/23","17910","-250","-1.38","18180","18280","17830","13770","247101360","143188838100","7994910"
"2025/05/22","18160","-570","-3.04","18730","18730","18120","15616","284762605","145187565600","7994910"
"2025/05/21","18730","-50","-0.27","18800","19070","18510","10918","205319920","149744664300","7994910"
"2025/05/20","18780","-440","-2.29","19220","19390","18770","21842","414012035","150144409800","7994910"
"2025/05/19","19220","-780","-3.90","19850","19850","19170","11634","225337270","153662170200","7994910"
"2025/05/16","20000","-300","-1.48","20550","20550","19760","24006","477857990","159898200000","7994910"
"2025/05/15","20300","-200","-0.98","20550","20850","20150","12605","257233325","162296673000","7994910"
"2025/05/14","20500","-50","-0.24","20650","20700","20000","13255","268350550","163895655000","7994910"
"2025/05/13","20550","0","0.00","20500","20800","20150","13630","279754475","164295400500","7994910"
"2025/05/12","20550","500","2.49","20100","20550","20050","10858","220294350","164295400500","7994910"
"2025/05/09","20050","-700","-3.37","20600","20750","20000","10669","215874175","160297945500","7994910"
"2025/05/08","20750","250","1.22","20300","20750","20300","7280","149838700","165894382500","7994910"
"2025/05/07","20500","450","2.24","20400","20550","20100","9120","185662325","163895655000","7994910"
"2025/05/02","20050","90","0.45","20150","20150","19910","4503","90194150","160297945500","7994910"
"2025/04/30","19960","-490","-2.40","20500","20500","19950","8965","179661085","159578403600","7994910"
"2025/04/29","20450","150","0.74","20150","20750","20100","7749","157932050","163495909500","7994910"
"2025/04/28","20300","100","0.50","20200","20850","20200","8519","174977775","162296673000","7994910"
"2025/04/25","20200","310","1.56","19950","20600","19950","11009","223627700","161497182000","7994910"
"2025/04/24","19890","-310","-1.53","20400","20450","19850","7243","144803175","159018759900","7994910"
"2025/04/23","20200","770","3.96","19720","20200","19720","16549","330042895","161497182000","7994910"
"2025/04/22","19430","-70","-0.36","19350","19650","19270","8113","157156370","155341101300","7994910"
"2025/04/21","19500","-150","-0.76","19650","19870","19430","8431","164978690","155900745000","7994910"
"2025/04/18","19650","50","0.26","19800","19800","19330","7133","139066975","157099981500","7994910"
"2025/04/17","19600","350","1.82","19250","19870","19250","6584","128678950","156700236000","7994910"
"2025/04/16","19250","-750","-3.75","20000","20200","19250","13357","260354925","153902017500","7994910"
"2025/04/15","20000","-150","-0.74","20450","20500","19300","11093","222327225","159898200000","7994910"
"2025/04/14","20150","410","2.08","19750","20350","19750","18932","379794430","161097436500","7994910"
"2025/04/11","19740","330","1.70","19200","19880","18710","17399","332541110","157819523400","7994910"
"2025/04/10","19410","1610","9.04","18580","19410","18510","27512","519615815","155181203100","7994910"
"2025/04/09","17800","-600","-3.26","18400","18860","17800","23221","428777615","142309398000","7994910"
"2025/04/08","18400","-480","-2.54","18950","19290","18400","17909","334997340","147106344000","7994910"
"2025/04/07","18880","-410","-2.13","18320","19900","17760","27719","526199460","150943900800","7994910"
"2025/04/04","19290","340","1.79","18310","19830","18310","24975","479846985","154221813900","7994910"
"2025/04/03","18950","-660","-3.37","19000","19740","18530","21777","415446900","151503544500","7994910"
"2025/04/02","19610","-690","-3.40","20150","21500","19610","25134","500619535","156780185100","7994910"
"2025/04/01","20300","400","2.01","20000","20700","20000","17187","347479600","162296673000","7994910"
"2025/03/31","19900","-900","-4.33","20400","20500","19900","29837","598822820","159098709000","7994910"
"2025/03/28","20800","-2250","-9.76","23050","23150","20750","127393","2714417800","166294128000","7994910"
"2025/03/27","23050","-700","-2.95","23800","25650","23000","199551","4921495825","184282675500","7994910"
"2025/03/26","23750","1000","4.40","23100","24250","23050","68527","1631148750","189879112500","7994910"
"2025/03/25","22750","600","2.71","22150","22750","21700","23906","532457400","181884202500","7994910"
"2025/03/24","22150","-350","-1.56","22250","22400","21750","14433","318149400","177087256500","7994910"
"2025/03/21","22500","-600","-2.60","22700","23100","21900","25403","564737525","179885475000","7994910"
"2025/03/20","23100","150","0.65","22750","23150","22500","21184","486508600","184682421000","7994910"
"2025/03/19","22950","150","0.66","22800","22950","22250","19424","439459625","183483184500","7994910"
"2025/03/18","22800","-100","-0.44","22750","23100","22300","18564","421866700","182283948000","7994910"
"2025/03/17","22900","350","1.55","22550","23000","22300","20569","465631875","183083439000","7994910"
"2025/03/14","22550","50","0.22","22450","23600","22150","22536","514046425","180285220500","7994910"
"2025/03/13","22500","350","1.58","22200","23950","22150","67839","1569820975","179885475000","7994910"
"2025/03/12","22150","950","4.48","21500","22150","21200","15099","330301750","177087256500","7994910"
"2025/03/11","21200","-300","-1.40","21250","21500","20150","33432","693068725","169492092000","7994910"
"2025/03/10","21500","50","0.23","21450","21900","20500","25191","536104400","171890565000","7994910"
"2025/03/07","21450","200","0.94","21050","21700","20800","17690","379014625","171490819500","7994910"
"2025/03/06","21250","-650","-2.97","22250","22700","21200","28251","612012275","169891837500","7994910"
"2025/03/05","21900","800","3.79","20900","22000","20900","29472","631875200","175088529000","7994910"
"2025/03/04","21100","-1100","-4.95","21850","21850","21000","30309","646068700","168692601000","7994910"
"2025/02/28","22200","-1500","-6.33","23700","23700","22050","39698","899244000","177487002000","7994910"
"2025/02/27","23700","-450","-1.86","23700","24150","23450","19119","453977750","189479367000","7994910"
"2025/02/26","24150","850","3.65","23000","24400","23000","34907","840079600","193077076500","7994910"
"2025/02/25","23300","-1550","-6.24","24850","24850","23250","53494","1268395700","186281403000","7994910"
"2025/02/24","24850","850","3.54","24000","25450","23650","72862","1800199950","198673513500","7994910"
"2025/02/21","24000","350","1.48","23650","24400","23350","56341","1351347350","191877840000","7994910"
"2025/02/20","23650","-550","-2.27","24500","24550","23500","52280","1252857450","189079621500","7994910"
"2025/02/19","24200","350","1.47","23950","24500","23700","65710","1588276750","193476822000","7994910"
"2025/02/18","23850","50","0.21","23600","24050","23350","33070","783609750","190678603500","7994910"
"2025/02/17","23800","550","2.37","23250","24000","22550","46889","1098957950","190278858000","7994910"
"2025/02/14","23250","-300","-1.27","23600","23700","22800","35540","824588600","185881657500","7994910"
"2025/02/13","23550","950","4.20","22600","23650","22550","58337","1358189500","188280130500","7994910"
"2025/02/12","22600","-500","-2.16","23100","23100","22150","20512","463143000","180684966000","7994910"
"2025/02/11","23100","350","1.54","22550","23600","22000","49528","1142072050","184682421000","7994910"
"2025/02/10","22750","1650","7.82","20500","23000","20400","53050","1160247150","181884202500","7994910"
"2025/02/07","21100","-500","-2.31","21850","22450","21100","21321","456888750","168692601000","7994910"
"2025/02/06","21600","-200","-0.92","21800","22100","20300","27290","584164950","172690056000","7994910"
"2025/02/05","21800","-300","-1.36","22100","22500","21650","36387","805237450","174289038000","7994910"
"2025/02/04","22100","900","4.25","21200","22250","21200","33253","720224000","176687511000","7994910"
"2025/02/03","21200","150","0.71","21400","21500","20400","31131","647907450","169492092000","7994910"
"2025/01/31","21050","0","0.00","21050","21500","20550","26481","559611750","168292855500","7994910"
"2025/01/24","21050","50","0.24","21000","21550","20600","18501","391296700","168292855500","7994910"
"2025/01/23","21000","-550","-2.55","21500","21550","20700","28653","603088700","167893110000","7994910"
"2025/01/22","21550","-650","-2.93","22200","22300","21550","35561","775774800","172290310500","7994910"
"2025/01/21","22200","-1000","-4.31","22750","23500","21500","51822","1147056100","177487002000","7994910"
"2025/01/20","23200","600","2.65","22600","23400","22300","42329","970313000","185481912000","7994910"
"2025/01/17","22600","-500","-2.16","23300","23300","22400","32525","737188000","180684966000","7994910"
"2025/01/16","23100","1550","7.19","21900","25200","21550","163164","3851674700","184682421000","7994910"
"2025/01/15","21550","-850","-3.79","22500","22850","21500","20991","460357300","172290310500","7994910"
"2025/01/14","22400","950","4.43","21450","22700","21450","22684","500441350","179085984000","7994910"
"2025/01/13","21450","-1150","-5.09","22200","22400","21450","21892","477000500","171490819500","7994910"
"2025/01/10","22600","450","2.03","22400","22750","21950","32632","726317050","180684966000","7994910"
"2025/01/09","22150","-850","-3.70","22500","23000","22100","37979","850503750","177087256500","7994910"
"2025/01/08","23000","-50","-0.22","23550","23550","22250","50778","1154603050","183882930000","7994910"
"2025/01/07","23050","-200","-0.86","23300","24850","22800","108363","2552869800","184282675500","7994910"
"2025/01/06","23250","3330","16.72","20000","23350","19980","163091","3569791730","185881657500","7994910"
"2025/01/03","19920","130","0.66","19840","21250","19790","84059","1703913720","159258607200","7994910"
"2025/01/02","19790","2640","15.39","17200","21600","17150","220020","4341847600","158219268900","7994910"
"2024/12/30","17150","100","0.59","16930","17260","16600","10985","187692820","137112706500","7994910"
"2024/12/27","17050","-200","-1.16","17250","17400","16710","18858","319908930","136313215500","7994910"
"2024/12/26","17250","-490","-2.76","17750","17900","17160","20217","352111790","137912197500","7994910"
"2024/12/24","17740","-520","-2.85","18090","18500","17700","20590","370168410","141829703400","7994910"
"2024/12/23","18260","320","1.78","17940","18390","17820","17419","315488730","145987056600","7994910"
"2024/12/20","17940","-1050","-5.53","18910","18910","17850","20929","380607840","143428685400","7994910"
"2024/12/19","18990","-410","-2.11","18730","19380","18710","14813","282850690","151823340900","7994910"
"2024/12/18","19400","280","1.46","18820","19540","18820","22777","438988660","155101254000","7994910"
"2024/12/17","19120","-400","-2.05","19520","19580","18700","34802","663172350","152862679200","7994910"
"2024/12/16","19520","350","1.83","19170","19580","19170","24428","473709210","156060643200","7994910"
"2024/12/13","19170","840","4.58","18330","19280","18050","61305","1155358150","153262424700","7994910"
"2024/12/12","18330","-720","-3.78","18860","19280","17520","249006","4533747720","146546700300","7994910"
"2024/12/11","19050","570","3.08","18140","19310","18140","36030","681549440","152303035500","7994910"
