일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2025/07/11","3525","205","6.17","3300","3650","3265","4363276","15430486841","135325662975","38390259"
"2025/07/10","3320","-125","-3.63","3435","3440","3305","1702621","5733674501","127455659880","38390259"
"2025/07/09","3445","-190","-5.23","3525","3560","3335","2972261","10125495149","132254442255","38390259"
"2025/07/08","3635","430","13.42","3210","3860","3175","21437489","77794158317","139548591465","38390259"
"2025/07/07","3205","5","0.16","3310","3340","3140","2983725","9676324335","123040780095","38390259"
"2025/07/04","3200","25","0.79","3190","3480","3065","6893877","22845485359","122848828800","38390259"
"2025/07/03","3175","-5","-0.16","3070","3350","2920","11331963","36097774975","121889072325","38390259"
"2025/07/02","3180","60","1.92","3430","3650","2920","61694647","210373993225","122081023620","38390259"
"2025/07/01","3120","-330","-9.57","3420","3480","3000","6498379","20594975878","119777608080","38390259"
"2025/06/30","3450","530","18.15","3000","3740","2960","17390597","61118176176","132446393550","38390259"
"2025/06/27","2920","-25","-0.85","3000","3225","2810","6750572","20692998140","112099556280","38390259"
"2025/06/26","2945","100","3.51","2845","3030","2805","2112942","6141909456","113059312755","38390259"
"2025/06/25","2845","170","6.36","2695","2920","2635","2096657","5907595323","109220286855","38390259"
"2025/06/24","2675","-145","-5.14","2830","2950","2620","1814109","4974845411","102693942825","38390259"
"2025/06/23","2820","-175","-5.84","2995","3040","2730","2278805","6494666283","108260530380","38390259"
"2025/06/20","2995","165","5.83","2830","3095","2705","3720071","10945077022","114978825705","38390259"
"2025/06/19","2830","-55","-1.91","2910","2935","2795","1326747","3789344320","108644432970","38390259"
"2025/06/18","2885","250","9.49","2610","2960","2575","4339687","12385588915","110755897215","38390259"
"2025/06/17","2635","-90","-3.30","2730","2790","2520","1668580","4441193317","101158332465","38390259"
"2025/06/16","2725","250","10.10","2605","2855","2505","6116512","16463660175","104613455775","38390259"
"2025/06/13","2475","255","11.49","2300","2655","2230","10565679","26081783534","95015891025","38390259"
"2025/06/12","2220","257","13.09","1963","2330","1963","6284476","13847497772","85226374980","38390259"
"2025/06/11","1963","145","7.98","1818","2065","1818","3566971","7002436688","75360078417","38390259"
"2025/06/10","1818","-143","-7.29","1966","1968","1810","1074912","1990776151","69793490862","38390259"
"2025/06/09","1961","114","6.17","1853","2020","1768","2636650","5103877397","75283297899","38390259"
"2025/06/05","1847","199","12.08","1605","1927","1605","5234641","9500851453","70906808373","38390259"
"2025/06/04","1648","-104","-5.94","1840","1950","1508","3924844","6385306605","63267146832","38390259"
"2025/06/02","1752","-89","-4.83","1880","1881","1702","1640341","2906243831","67259733768","38390259"
"2025/05/30","1841","-123","-6.26","2020","2030","1827","1631458","3094640876","70676466819","38390259"
"2025/05/29","1964","59","3.10","1910","2080","1910","2915173","5846427350","75398468676","38390259"
"2025/05/28","1905","-45","-2.31","1966","1982","1820","1137753","2172443558","73133443395","38390259"
"2025/05/27","1950","22","1.14","1957","2150","1905","2610782","5238100527","74861005050","38390259"
"2025/05/26","1928","-112","-5.49","2040","2070","1924","1335400","2659283497","74016419352","38390259"
"2025/05/23","2040","40","2.00","2195","2475","2040","10787471","24403616032","78316128360","38390259"
"2025/05/22","2000","-95","-4.53","2035","2095","1984","861005","1739374656","76780518000","38390259"
"2025/05/21","2095","-50","-2.33","2150","2185","2085","647218","1372310474","80427592605","38390259"
"2025/05/20","2145","55","2.63","2090","2270","2080","1558225","3362426082","82347105555","38390259"
"2025/05/19","2090","-160","-7.11","2255","2260","2055","1247906","2615159805","80235641310","38390259"
"2025/05/16","2250","-30","-1.32","2280","2335","2160","1305356","2912460003","86378082750","38390259"
"2025/05/15","2280","-205","-8.25","2485","2485","2275","1547332","3598398255","87529790520","38390259"
"2025/05/14","2485","-105","-4.05","2600","2695","2455","1868387","4717986679","95399793615","38390259"
"2025/05/13","2590","-60","-2.26","2655","2775","2560","4410450","11730595155","99430770810","38390259"
"2025/05/12","2650","185","7.51","2495","2950","2495","12638785","34971786589","101734186350","38390259"
"2025/05/09","2465","-130","-5.01","2595","2655","2410","1820530","4618667502","94631988435","38390259"
"2025/05/08","2595","-115","-4.24","2770","2775","2580","3417041","9070650005","99622722105","38390259"
"2025/05/07","2710","310","12.92","2500","2845","2350","12470963","33365281398","104037601890","38390259"
"2025/05/02","2400","-255","-9.60","2185","2865","2030","18096941","44855781535","92136621600","38390259"
"2025/04/30","2655","575","27.64","2200","2655","2165","16226390","41057681456","101926137645","38390259"
"2025/04/29","2080","-90","-4.15","2195","2205","2065","1394230","2936002815","79851738720","38390259"
"2025/04/28","2170","-235","-9.77","2500","2505","2150","1877160","4280964430","83306862030","38390259"
"2025/04/25","2405","-35","-1.43","2460","2460","2350","698330","1674047693","92328572895","38390259"
"2025/04/24","2440","20","0.83","2430","2590","2380","1822122","4459000812","93672231960","38390259"
"2025/04/23","2420","-100","-3.97","2505","2535","2375","1430261","3465371113","92904426780","38390259"
"2025/04/22","2520","-180","-6.67","2630","2660","2500","1567609","4018424789","96743452680","38390259"
"2025/04/21","2700","-65","-2.35","2810","2920","2690","1409428","3894350516","103653699300","38390259"
"2025/04/18","2765","15","0.55","2810","2885","2600","3917366","10729922170","106149066135","38390259"
"2025/04/17","2750","15","0.55","2790","2950","2685","2678308","7435526956","105573212250","38390259"
"2025/04/16","2735","-380","-12.20","2945","2950","2730","3940169","11108566958","104997358365","38390259"
